gene_id	type	gene_type	gene_name	seqnames	logFC	AveExpr	t	P.Value	adj.P.Val	B
NT5DC1	ENSG00000178425.13	gene	protein_coding	NT5DC1	chr6	0.638659968187428	4.51503728912201	7.07622743927358	2.68782150038511e-11	5.15263479623224e-08	15.3145693870514
TPPP3	ENSG00000159713.10	gene	protein_coding	TPPP3	chr16	0.892080115694063	8.03516572622291	7.06643583742439	2.84265329577353e-11	5.15263479623224e-08	15.2541717364364
CACNA1C	ENSG00000151067.21	gene	protein_coding	CACNA1C	chr12	-0.612316606237937	2.91997057025763	-7.05906756166935	2.96493576437531e-11	5.15263479623224e-08	15.2105553854676
DLEU7	ENSG00000186047.9	gene	protein_coding	DLEU7	chr13	-0.481828767384492	2.53396467231988	-7.00136224782974	4.12002749121001e-11	6.68268459074264e-08	14.8697088489464
PLB1	ENSG00000163803.12	gene	protein_coding	PLB1	chr2	-0.527976583998371	2.13750188811204	-6.94756653698185	5.59132759845823e-11	8.50231252940554e-08	14.532471365096
RP11-192H23.4	ENSG00000258472.8	gene	protein_coding	RP11-192H23.4	chr17	-0.711800238704586	3.834161340211	-6.92456770016552	6.36847527727273e-11	8.67889705470026e-08	14.4862028128205
OPRD1	ENSG00000116329.10	gene	protein_coding	OPRD1	chr1	-0.757878385558983	1.91025837965179	-6.92311787498973	6.42088561383496e-11	8.67889705470026e-08	14.4379930061004
INTS13	ENSG00000064102.14	gene	protein_coding	INTS13	chr12	0.489682711385753	4.61469330634745	6.89803336213977	7.39798264935395e-11	8.8526341708985e-08	14.3423685757001
HN1L	ENSG00000206053.12	gene	protein_coding	HN1L	chr16	0.746260685630412	5.14317051926701	6.89230270909312	7.64099126957947e-11	8.8526341708985e-08	14.3105856556963
NOS2	ENSG00000007171.16	gene	protein_coding	NOS2	chr17	-0.604811106090028	1.94277793217185	-6.89456034835755	7.54433100908755e-11	8.8526341708985e-08	14.2320031089359
RP11-863P13.6	ENSG00000260166.1	gene	lincRNA	RP11-863P13.6	chr16	-1.00202014471514	1.73168910251729	-6.87894985860753	8.23815417989568e-11	9.11064959985736e-08	14.2024439668684
PDE8B	ENSG00000113231.13	gene	protein_coding	PDE8B	chr5	-0.573416890740839	5.23457216841184	-6.86265182353374	9.02962114767444e-11	9.55176880534431e-08	14.1504358877871
CRTC1	ENSG00000105662.15	gene	protein_coding	CRTC1	chr19	-0.872652141232515	6.1914177175594	-6.82933967176551	1.0887590131922e-10	1.10372944962359e-07	13.9710651116859
GJB1	ENSG00000169562.9	gene	protein_coding	GJB1	chrX	1.24598604232943	6.19815498016745	6.81857271482425	1.15650785003804e-10	1.12551343965702e-07	13.9131026950013
DIAPH2	ENSG00000147202.17	gene	protein_coding	DIAPH2	chrX	-0.489401961770149	2.68850220158338	-6.8012130164118	1.27458385821951e-10	1.19271635655695e-07	13.8034249959787
VIPR1	ENSG00000114812.12	gene	protein_coding	VIPR1	chr3	-0.876628049945782	3.43381566963651	-6.75464925898675	1.65313627126519e-10	1.39833470892988e-07	13.5712378668569
ADRA1B	ENSG00000170214.3	gene	protein_coding	ADRA1B	chr5	-1.0906377605605	3.16235371390221	-6.75317918716267	1.66673680883545e-10	1.39833470892988e-07	13.563152271737
RP11-245D16.4	ENSG00000278238.1	gene	lincRNA	RP11-245D16.4	chr13	-0.713112274508865	2.60361944506064	-6.74352325407422	1.75884878609092e-10	1.42642636551974e-07	13.4952147434554
RPL12P30	ENSG00000242353.1	gene	processed_pseudogene	RPL12P30	chr11	-0.744388514023149	1.52125170253701	-6.75629245421203	1.63806337863152e-10	1.39833470892988e-07	13.4650577641008
CDYL2	ENSG00000166446.14	gene	protein_coding	CDYL2	chr16	-0.428658882715322	3.4833589988331	-6.71329133597974	2.08087565010639e-10	1.53417286566935e-07	13.3509300561081
RP11-399H11.2	ENSG00000233936.1	gene	lincRNA	RP11-399H11.2	chr9	-0.680276534840418	1.01234448057317	-6.73533592336909	1.84086402881108e-10	1.44478134906366e-07	13.3493171022139
MAP3K21	ENSG00000143674.10	gene	protein_coding	MAP3K21	chr1	-0.509660526164328	1.86617174325295	-6.71432710626751	2.06893874426839e-10	1.53417286566935e-07	13.2853800474149
RASGRP3	ENSG00000152689.17	gene	protein_coding	RASGRP3	chr2	0.867087362779878	4.88444380126554	6.64276690967192	3.07494210354557e-10	2.18841739565219e-07	12.9752226001836
KLK6	ENSG00000167755.14	gene	protein_coding	KLK6	chr19	1.29372670804857	6.96223685171421	6.63850330281934	3.14815490537717e-10	2.18841739565219e-07	12.9540161639551
PTH2R	ENSG00000144407.9	gene	protein_coding	PTH2R	chr2	-0.902063663538132	2.1195505053857	-6.61385338500886	3.60630321801794e-10	2.43725992484379e-07	12.7946918081927
FBXO17	ENSG00000269190.5	gene	protein_coding	FBXO17	chr19	-0.38676423167551	3.73853445075719	-6.59999303541382	3.89209937178478e-10	2.55931831663577e-07	12.7515296114667
MREG	ENSG00000118242.15	gene	protein_coding	MREG	chr2	-0.601192254124393	3.36868937195917	-6.58608439089712	4.20126229935313e-10	2.6209413267503e-07	12.6786712304152
SMIM5	ENSG00000204323.5	gene	protein_coding	SMIM5	chr17	0.958177334786886	3.18658104780826	6.58718233263892	4.1760033054104e-10	2.6209413267503e-07	12.6583630570357
HAGLR	ENSG00000224189.6	gene	antisense	HAGLR	chr2	1.16070922521474	3.9256077041826	6.56720040041435	4.65998042185008e-10	2.83443309159031e-07	12.5768513612201
ENPP6	ENSG00000164303.10	gene	protein_coding	ENPP6	chr4	0.962144242428383	3.74925084886768	6.55496123450914	4.98323720344192e-10	2.90928678977908e-07	12.5155006736139
RP11-640L9.2	ENSG00000281100.1	gene	TEC	RP11-640L9.2	chr3	-0.648192594843203	1.69338764195296	-6.55353919707721	5.02219667779373e-10	2.90928678977908e-07	12.4501395116254
SPAG5	ENSG00000076382.16	gene	protein_coding	SPAG5	chr17	-0.507008453487466	3.35823633261073	-6.53884248896286	5.44280347093621e-10	3.07961414995065e-07	12.4312249900091
LYPD8	ENSG00000259823.5	gene	protein_coding	LYPD8	chr1	-0.767197439809765	2.02530517585345	-6.52584198240141	5.84361276489867e-10	3.14306128551414e-07	12.3459763145623
TMEM266	ENSG00000169758.12	gene	protein_coding	TMEM266	chr15	-0.552675596707324	2.41043972959242	-6.52276972802064	5.94249153857997e-10	3.14306128551414e-07	12.336809316026
GLRA3	ENSG00000145451.12	gene	protein_coding	GLRA3	chr4	-0.664471651624915	1.5598857905614	-6.52515278563065	5.86565245194606e-10	3.14306128551414e-07	12.2907007733945
EIF4E1B	ENSG00000175766.11	gene	protein_coding	EIF4E1B	chr5	-0.734909639252524	2.0815984032322	-6.51519297249746	6.19343080142948e-10	3.20608875316552e-07	12.2656789977724
C3orf67-AS1	ENSG00000242428.5	gene	antisense	C3orf67-AS1	chr3	-0.593321464779381	1.43708394411053	-6.48773915351881	7.19305539239496e-10	3.6459799520202e-07	12.1127072186792
KCNA4	ENSG00000182255.6	gene	protein_coding	KCNA4	chr11	-0.719795487923608	2.43508623433128	-6.47774329965749	7.59508107442547e-10	3.67042134368952e-07	12.1110643429016
GALE	ENSG00000117308.14	gene	protein_coding	GALE	chr1	-0.363457665198303	3.75275036812824	-6.47591326411758	7.67103926511174e-10	3.67042134368952e-07	12.1011725895663
PITPNM2	ENSG00000090975.12	gene	protein_coding	PITPNM2	chr12	-0.666860398552017	4.56737423510452	-6.47329476947736	7.78102373447374e-10	3.67042134368952e-07	12.0823806388104
RGS6	ENSG00000182732.16	gene	protein_coding	RGS6	chr14	-0.627349994575391	2.29126931358509	-6.47179500746992	7.844714750179e-10	3.67042134368952e-07	12.0631259893534
CDH9	ENSG00000113100.9	gene	protein_coding	CDH9	chr5	-1.05243849413462	2.67419616549519	-6.44659982132929	8.99457243938817e-10	4.07983452530974e-07	11.9498129780431
LRMP	ENSG00000118308.15	gene	protein_coding	LRMP	chr12	-0.734079554639406	2.87714290872317	-6.44536249980481	9.05511978490448e-10	4.07983452530974e-07	11.945123919161
RP11-863P13.5	ENSG00000261193.1	gene	lincRNA	RP11-863P13.5	chr16	-0.853776689799198	2.46555311962545	-6.42958550828388	9.86317432817408e-10	4.1654642456861e-07	11.8636526356408
MYO1E	ENSG00000157483.8	gene	protein_coding	MYO1E	chr15	0.695244122127881	3.96279322030678	6.42833817038446	9.93000107890644e-10	4.1654642456861e-07	11.8563860433309
ANKRD20A5P	ENSG00000186481.16	gene	transcribed_unprocessed_pseudogene	ANKRD20A5P	chr18	-0.562703703800271	1.44868129954281	-6.43965109551369	9.33983475994768e-10	4.13160326744595e-07	11.8382813083169
POU2F2	ENSG00000028277.21	gene	protein_coding	POU2F2	chr19	-0.615687420384085	2.63129917395234	-6.42903988867546	9.89235161826735e-10	4.1654642456861e-07	11.8367080388601
NHSL2	ENSG00000204131.9	gene	protein_coding	NHSL2	chrX	-0.469865828314979	2.58511477935658	-6.4209918604488	1.03327057567221e-09	4.19418507089533e-07	11.8126707510033
CPNE5	ENSG00000124772.11	gene	protein_coding	CPNE5	chr6	-0.800991721322047	4.41703928478348	-6.42080343405605	1.0343243084822e-09	4.19418507089533e-07	11.809045902129
RP11-259K15.2	ENSG00000258844.1	gene	lincRNA	RP11-259K15.2	chr14	1.15736078027168	4.70640145256571	6.41009029024586	1.09600405288584e-09	4.30093203334074e-07	11.7618272324241
STRC	ENSG00000242866.9	gene	protein_coding	STRC	chr15	-0.53152339174485	1.17731887637689	-6.41268094789716	1.08076529388963e-09	4.30093203334074e-07	11.6885296321657
RP11-467J12.4	ENSG00000277639.2	gene	protein_coding	RP11-467J12.4	chr16	1.8225991867779	2.67920544867997	6.39260882647323	1.20449671631121e-09	4.65165160442092e-07	11.6293366523216
MOG	ENSG00000204655.11	gene	protein_coding	MOG	chr6	1.08148146551145	8.84085912282039	6.37807291579257	1.30268725506844e-09	4.8760586024331e-07	11.596603572415
FFAR4	ENSG00000186188.10	gene	protein_coding	FFAR4	chr10	-0.571920782381521	1.4901020483233	-6.38220181870503	1.27402363746285e-09	4.84328048429235e-07	11.5472186362741
ELFN2	ENSG00000243902.6	gene	sense_overlapping	ELFN2	chr22	-0.595333269477504	2.60285133184254	-6.36302033299956	1.41265084823891e-09	5.03400136792097e-07	11.5165093276822
TMEM98	ENSG00000006042.11	gene	protein_coding	TMEM98	chr17	0.766808493222976	5.58806147203526	6.36389434552788	1.40602381170821e-09	5.03400136792097e-07	11.5139020899648
RP11-881M11.4	ENSG00000256196.1	gene	antisense	RP11-881M11.4	chr11	-0.657816894812689	1.39904455250564	-6.37159478095929	1.34894109293506e-09	4.97268739259244e-07	11.4898904844504
PRKAA2	ENSG00000162409.10	gene	protein_coding	PRKAA2	chr1	-0.443124903253914	2.80810432187031	-6.35564475806882	1.46981036771962e-09	5.10864089237404e-07	11.4814946922608
RUNDC3A-AS1	ENSG00000267750.5	gene	antisense	RUNDC3A-AS1	chr17	-0.499325805394676	1.9680519118525	-6.36105755348424	1.42764527080373e-09	5.03400136792097e-07	11.4681670691036
ELK1	ENSG00000126767.17	gene	protein_coding	ELK1	chrX	-0.938729305075343	6.32379234296717	-6.34793321821741	1.53200240055841e-09	5.24980540923749e-07	11.442342437924
CYP2B7P	ENSG00000256612.7	gene	transcribed_unprocessed_pseudogene	CYP2B7P	chr19	-0.575516888698849	2.26290112153005	-6.3426413617976	1.57616805982672e-09	5.32613456883113e-07	11.3915549000387
CMTM5	ENSG00000166091.19	gene	protein_coding	CMTM5	chr14	0.846671863456309	7.12136656278875	6.3255437732833	1.72758374670921e-09	5.75782363800481e-07	11.3246809389691
OPN4	ENSG00000122375.11	gene	protein_coding	OPN4	chr10	-0.750427323934017	1.63756797053132	-6.30588842903979	1.91934860286327e-09	6.31050696049506e-07	11.1881730237015
SLC25A13	ENSG00000004864.13	gene	protein_coding	SLC25A13	chr7	0.624459198103428	4.30859614289676	6.29673692826498	2.01562081719861e-09	6.53867393099228e-07	11.1786108225093
RP11-1081L13.4	ENSG00000254966.1	gene	antisense	RP11-1081L13.4	chr11	-0.453612209629221	2.45871881400505	-6.28441996820435	2.15271176089893e-09	6.831540867712e-07	11.1081027034503
MPP7	ENSG00000150054.18	gene	protein_coding	MPP7	chr10	-0.528420552834057	1.99135929557891	-6.28196464436769	2.18111449580985e-09	6.831540867712e-07	11.0792730443259
S1PR5	ENSG00000180739.13	gene	protein_coding	S1PR5	chr19	0.925334764852911	5.78945059407072	6.27130262000434	2.30877767612696e-09	6.93488405681098e-07	11.0387189037324
ZBED9	ENSG00000232040.2	gene	protein_coding	ZBED9	chr6	-0.457319338541095	1.37901836321247	-6.28119129470602	2.19013640641815e-09	6.831540867712e-07	11.0298736086517
ZNF702P	ENSG00000242779.6	gene	transcribed_processed_pseudogene	ZNF702P	chr19	-0.537208891360055	1.64122991077716	-6.2782090928278	2.2252711127272e-09	6.8532716674244e-07	11.028641107261
RP6-91H8.1	ENSG00000258517.1	gene	lincRNA	RP6-91H8.1	chr14	-0.648057211449173	1.15712568567615	-6.27386489294678	2.27744421259845e-09	6.92627721156503e-07	11.0092714957908
RP11-482M8.3	ENSG00000269935.1	gene	antisense	RP11-482M8.3	chr16	-1.1384773353742	4.45013316739101	-6.26309547966519	2.41201642109797e-09	7.1566292104041e-07	10.9995642682009
ESYT3	ENSG00000158220.13	gene	protein_coding	ESYT3	chr3	-0.718240457534566	2.3210579490715	-6.26007587029457	2.45112968105353e-09	7.18505845060631e-07	10.9906612324472
SETD1B	ENSG00000139718.10	gene	protein_coding	SETD1B	chr12	-0.236598560156209	3.71467729549152	-6.25542984110302	2.512528928102e-09	7.24840891446012e-07	10.9684586431936
CTB-78F1.1	ENSG00000254187.1	gene	antisense	CTB-78F1.1	chr5	-0.95886325834005	2.08490541943417	-6.25395559510063	2.5323253503046e-09	7.24840891446012e-07	10.9531851334467
RP11-863P13.4	ENSG00000205037.2	gene	lincRNA	RP11-863P13.4	chr16	-0.824392284705977	2.43975688831899	-6.24623709716405	2.63849603539751e-09	7.46448936525832e-07	10.9262591315528
CA14	ENSG00000118298.10	gene	protein_coding	CA14	chr1	0.971546473410176	4.43147160741788	6.23976177675559	2.73092638441724e-09	7.63717688883581e-07	10.8882167921414
PTPDC1	ENSG00000158079.14	gene	protein_coding	PTPDC1	chr9	0.50186886945066	4.30924837791959	6.2368836467497	2.77302268239744e-09	7.66677748440109e-07	10.8701283823417
ZNF697	ENSG00000143067.4	gene	protein_coding	ZNF697	chr1	-0.426229312095624	2.09852973091476	-6.23416565823925	2.81336101452835e-09	7.69090713297468e-07	10.8492276615717
PRIMA1	ENSG00000175785.12	gene	protein_coding	PRIMA1	chr14	0.962049493021091	4.49729801487548	6.23122022544996	2.85772510768974e-09	7.69820773983881e-07	10.8415038287896
CPXM2	ENSG00000121898.12	gene	protein_coding	CPXM2	chr10	0.681344602791402	2.44117899087976	6.22980313449383	2.87931321136593e-09	7.69820773983881e-07	10.8251232327596
ASPA	ENSG00000108381.10	gene	protein_coding	ASPA	chr17	0.899465894383802	6.13721454821733	6.22055110808275	3.02424520196957e-09	7.99781366999128e-07	10.7805977186254
SSTR1	ENSG00000139874.5	gene	protein_coding	SSTR1	chr14	-0.689358251530335	3.67594429289581	-6.20673085523726	3.25416320179533e-09	8.51331082792262e-07	10.715493239743
CCDC78	ENSG00000162004.16	gene	protein_coding	CCDC78	chr16	1.2271858813626	4.5085240118352	6.20208695158427	3.33520446064141e-09	8.54163416077952e-07	10.6990192467935
PRC1-AS1	ENSG00000258725.1	gene	antisense	PRC1-AS1	chr15	-0.450770667580422	1.76593906154943	-6.20358715348182	3.3088101188974e-09	8.54163416077952e-07	10.6639190907707
NOL4	ENSG00000101746.15	gene	protein_coding	NOL4	chr18	-0.642923617334636	3.67277470793307	-6.190534283988	3.54549934026467e-09	8.98562489048328e-07	10.633364761089
RP11-438B23.2	ENSG00000260412.1	gene	sense_overlapping	RP11-438B23.2	chr9	-0.705761366169936	1.72953545657119	-6.17858359528906	3.77672045458525e-09	9.45176792432593e-07	10.5698875932022
EMX1	ENSG00000135638.13	gene	protein_coding	EMX1	chr2	-0.798319913516512	3.11039424088571	-6.17519930688197	3.84484456239173e-09	9.45176792432593e-07	10.5609414860157
CNTNAP4	ENSG00000152910.18	gene	protein_coding	CNTNAP4	chr16	0.819218217639209	6.25866235517555	6.17514378643555	3.84597215169859e-09	9.45176792432593e-07	10.5553603006029
KCNH4	ENSG00000089558.8	gene	protein_coding	KCNH4	chr17	-0.582576930713179	1.43730686081916	-6.1679416617164	3.99502702698432e-09	9.71990075665284e-07	10.4859627907981
CACNG2	ENSG00000166862.6	gene	protein_coding	CACNG2	chr22	-0.680918839819304	2.5519332062089	-6.14773126727165	4.44421888089106e-09	1.06007691541255e-06	10.4305073158106
LINC00621	ENSG00000262619.1	gene	lincRNA	LINC00621	chr13	-0.592068043846301	1.63932578827866	-6.14999034668321	4.39164814216936e-09	1.0579089039503e-06	10.4045409464284
SNAP25-AS1	ENSG00000227906.7	gene	antisense	SNAP25-AS1	chr20	-0.432489086127914	1.86472911464834	-6.14437858952732	4.52337805353331e-09	1.06848337905306e-06	10.3855299388785
RERE	ENSG00000142599.17	gene	protein_coding	RERE	chr1	-0.23878659466187	5.78513036687021	-6.13854213441591	4.6644924746381e-09	1.09122213373024e-06	10.3682919171317
LASP1	ENSG00000002834.17	gene	protein_coding	LASP1	chr17	-0.369114371831656	5.86406185376162	-6.12463652089498	5.01832920885371e-09	1.1504022347375e-06	10.3032790292537
RNF13	ENSG00000082996.19	gene	protein_coding	RNF13	chr3	0.592693327245498	6.81197080941093	6.12308850881828	5.05931110221587e-09	1.1504022347375e-06	10.2962888510234
KRT8P26	ENSG00000214659.4	gene	processed_pseudogene	KRT8P26	chr11	-0.468903017771168	1.59163668923613	-6.12491963035099	5.01086949032618e-09	1.1504022347375e-06	10.2837531346602
IWS1	ENSG00000163166.14	gene	protein_coding	IWS1	chr2	0.357013938606655	5.86803646557131	6.11575017017149	5.25809354685354e-09	1.17277781368328e-06	10.252553168372
RP11-192H23.8	ENSG00000264608.1	gene	sense_intronic	RP11-192H23.8	chr17	-0.840990182375243	4.40719599092104	-6.11322479644703	5.32825675987528e-09	1.17277781368328e-06	10.2380802869493
FA2H	ENSG00000103089.8	gene	protein_coding	FA2H	chr16	1.03507711234661	6.76870133640162	6.11072085287779	5.39873058497853e-09	1.17277781368328e-06	10.2325884463321
SYNJ2	ENSG00000078269.14	gene	protein_coding	SYNJ2	chr6	0.661752358591468	5.78176294452168	6.11170483543653	5.3709279308764e-09	1.17277781368328e-06	10.2307439035864
TMEM125	ENSG00000179178.10	gene	protein_coding	TMEM125	chr1	1.02013380266081	5.7189057635923	6.10668210664131	5.51433189797444e-09	1.1768745182256e-06	10.2055811754526
KRT8P30	ENSG00000224928.2	gene	processed_pseudogene	KRT8P30	chr2	-0.537056441152043	1.45522163736656	-6.1075336385288	5.48975828684083e-09	1.1768745182256e-06	10.2016704773683
CTC-471C19.1	ENSG00000261037.1	gene	lincRNA	CTC-471C19.1	chr5	-0.58401860918188	1.09584014976193	-6.11105564077493	5.38925527530219e-09	1.17277781368328e-06	10.181653771181
STEAP2	ENSG00000157214.13	gene	protein_coding	STEAP2	chr7	-0.631560371820136	3.43636321854812	-6.09423252155777	5.88615952463634e-09	1.24530661942958e-06	10.1543843678177
SLC41A2	ENSG00000136052.9	gene	protein_coding	SLC41A2	chr12	-0.362910842381147	2.70975306698927	-6.0885898440616	6.06267845553489e-09	1.25004209172173e-06	10.135764273625
AC006466.5	ENSG00000232887.1	gene	processed_pseudogene	AC006466.5	chr7	-0.663787030889667	1.55384526064543	-6.09001236750248	6.01769476586234e-09	1.25004209172173e-06	10.1281528901455
RP11-416I2.1	ENSG00000260328.1	gene	lincRNA	RP11-416I2.1	chr17	-0.942177698056608	2.96189533179304	-6.08880010802744	6.0560086915174e-09	1.25004209172173e-06	10.1253451478579
LRRK1	ENSG00000154237.12	gene	protein_coding	LRRK1	chr15	-0.430645038852665	2.1023755497824	-6.08062125231062	6.32082634738292e-09	1.29231684900695e-06	10.0673311567142
SSTR3	ENSG00000278195.1	gene	protein_coding	SSTR3	chr22	-0.791967239155401	2.52142392085936	-6.06896062227228	6.71810394181932e-09	1.3288737309306e-06	10.0369493788255
SDCBP2	ENSG00000125775.14	gene	protein_coding	SDCBP2	chr20	-0.505819487574276	5.24245315222888	-6.07248563112545	6.5954943364448e-09	1.31679694353235e-06	10.0357177743046
COL4A5	ENSG00000188153.12	gene	protein_coding	COL4A5	chrX	0.912771499562622	5.28768552834394	6.07227010573413	6.60292754257897e-09	1.31679694353235e-06	10.0351863449551
CARNS1	ENSG00000172508.10	gene	protein_coding	CARNS1	chr11	1.16901661140595	8.04213287643268	6.06563883983443	6.83568778312698e-09	1.33817047211506e-06	10.0185331262517
RP6-91H8.5	ENSG00000269945.1	gene	lincRNA	RP6-91H8.5	chr14	-1.02197573478299	1.90698775665741	-6.06453780786102	6.87510517938276e-09	1.33817047211506e-06	10.0125377319199
FAM87A	ENSG00000182366.9	gene	lincRNA	FAM87A	chr8	-0.588355681085709	1.07767502755587	-6.07681535821006	6.44789288897555e-09	1.30731028323979e-06	10.0011988196459
SEPT8	ENSG00000164402.13	gene	protein_coding	SEPT8	chr5	0.493828358502076	7.97262768919861	6.05837012724475	7.10006435000011e-09	1.37098861615478e-06	9.98408574665819
U47924.31	ENSG00000272173.1	gene	antisense	U47924.31	chr12	-0.437562454433185	2.75530867013992	-6.04931788374844	7.44335309448842e-09	1.42595890384963e-06	9.93769827157184
ANLN	ENSG00000011426.10	gene	protein_coding	ANLN	chr7	1.03286735353218	7.18169137256711	6.04530865211945	7.60054379574534e-09	1.44469711367566e-06	9.9091120985379
VSTM5	ENSG00000214376.5	gene	protein_coding	VSTM5	chr11	-0.669939912746556	2.64900536231283	-6.03737041380837	7.92143580144329e-09	1.47966733922357e-06	9.88215530029273
CDH18	ENSG00000145526.11	gene	protein_coding	CDH18	chr5	-0.604177776985586	2.52735027338461	-6.036269556689	7.96697169906649e-09	1.47966733922357e-06	9.87616655400921
CAPN3	ENSG00000092529.23	gene	protein_coding	CAPN3	chr15	0.802926242181318	6.87370507791667	6.03754088836989	7.91440712638997e-09	1.47966733922357e-06	9.8654982627591
HTR1E	ENSG00000168830.7	gene	protein_coding	HTR1E	chr6	-0.69207365526858	1.94890056911942	-6.03405550939122	8.05933164553202e-09	1.4854813555742e-06	9.8553851587766
TMEM241	ENSG00000134490.13	gene	protein_coding	TMEM241	chr18	-0.386613860148998	2.61704135098376	-6.02881023788483	8.2823475334387e-09	1.49259374732887e-06	9.83970126093868
CCDC85A	ENSG00000055813.5	gene	protein_coding	CCDC85A	chr2	-0.920416455465022	4.41334179952191	-6.02923461555305	8.26408148033195e-09	1.49259374732887e-06	9.8223387183331
FNDC9	ENSG00000172568.4	gene	protein_coding	FNDC9	chr5	-0.720845946896214	2.86491637219969	-6.02573116011356	8.41606701646878e-09	1.49461978474953e-06	9.81784979343836
RP11-197K6.1	ENSG00000223812.5	gene	lincRNA	RP11-197K6.1	chr3	-1.09334451895436	1.75281778740943	-6.0233536793276	8.52076226597198e-09	1.50224743428332e-06	9.79675792214323
CDK18	ENSG00000117266.15	gene	protein_coding	CDK18	chr1	0.941565110072466	7.31795815255207	6.02132743603621	8.6109966807868e-09	1.50723416721973e-06	9.79324957418211
RP11-10A7.1	ENSG00000254890.1	gene	processed_pseudogene	RP11-10A7.1	chr11	-0.633179805944819	1.01063386445454	-6.0292402891962	8.26383754309423e-09	1.49259374732887e-06	9.78654224764758
COL9A2	ENSG00000049089.13	gene	protein_coding	COL9A2	chr1	0.65784011431494	7.38571518507439	6.01791881493285	8.76490890721003e-09	1.52321595508871e-06	9.7767924791601
GLP2R	ENSG00000065325.12	gene	protein_coding	GLP2R	chr17	-0.577534508794798	1.14990709913462	-6.02740048011262	8.34331071256583e-09	1.49259374732887e-06	9.77617532581073
PARVB	ENSG00000188677.14	gene	protein_coding	PARVB	chr22	-0.485210185206456	4.14635911208809	-6.01553168451882	8.87429829928304e-09	1.5312884937699e-06	9.7546054836885
PMP22	ENSG00000109099.13	gene	protein_coding	PMP22	chr17	0.70294860587425	8.1515626754521	6.00714770986567	9.26919252900509e-09	1.58484674775961e-06	9.72990825318078
CNGB1	ENSG00000070729.13	gene	protein_coding	CNGB1	chr16	-1.2955960003362	2.75749929096366	-6.0048558613269	9.38010405579051e-09	1.58484674775961e-06	9.70708134859929
HTR6	ENSG00000158748.3	gene	protein_coding	HTR6	chr1	-0.514950405957336	1.35443867153626	-6.00561275208867	9.34333213139066e-09	1.58484674775961e-06	9.69121539338992
KCNS2	ENSG00000156486.7	gene	protein_coding	KCNS2	chr8	-0.659142534789004	1.61938917818132	-5.99880341077556	9.67929351606991e-09	1.62411869824814e-06	9.68151078615186
CLIC6	ENSG00000159212.12	gene	protein_coding	CLIC6	chr21	1.47602894151401	3.37011752024354	5.98847044150592	1.02118241710093e-08	1.6901611025895e-06	9.64130665410494
FANCA	ENSG00000187741.14	gene	protein_coding	FANCA	chr16	-0.374541011409054	1.61740256626918	-5.99199287202674	1.0027141701953e-08	1.67096135348299e-06	9.62175958255914
RP5-907C10.3	ENSG00000279419.1	gene	TEC	RP5-907C10.3	chr7	0.89359282432698	4.87591717215998	5.98450016466063	1.0423982879927e-08	1.70827986873508e-06	9.605754955929
SLC5A11	ENSG00000158865.12	gene	protein_coding	SLC5A11	chr16	1.31630553925603	5.43160961081308	5.98380222308454	1.04617221718671e-08	1.70827986873508e-06	9.59450797411455
