gene_id	type	gene_type	gene_name	seqnames	logFC	AveExpr	t	P.Value	adj.P.Val	B
RP11-259K15.2	ENSG00000258844.1	gene	lincRNA	RP11-259K15.2	chr14	1.15736078027168	4.70640145256571	6.41009029024586	1.09600405288584e-09	4.30093203334074e-07	11.7618272324241
RP11-467J12.4	ENSG00000277639.2	gene	protein_coding	RP11-467J12.4	chr16	1.8225991867779	2.67920544867997	6.39260882647323	1.20449671631121e-09	4.65165160442092e-07	11.6293366523216
MOG	ENSG00000204655.11	gene	protein_coding	MOG	chr6	1.08148146551145	8.84085912282039	6.37807291579257	1.30268725506844e-09	4.8760586024331e-07	11.596603572415
RP11-482M8.3	ENSG00000269935.1	gene	antisense	RP11-482M8.3	chr16	-1.1384773353742	4.45013316739101	-6.26309547966519	2.41201642109797e-09	7.1566292104041e-07	10.9995642682009
CCDC78	ENSG00000162004.16	gene	protein_coding	CCDC78	chr16	1.2271858813626	4.5085240118352	6.20208695158427	3.33520446064141e-09	8.54163416077952e-07	10.6990192467935
FA2H	ENSG00000103089.8	gene	protein_coding	FA2H	chr16	1.03507711234661	6.76870133640162	6.11072085287779	5.39873058497853e-09	1.17277781368328e-06	10.2325884463321
TMEM125	ENSG00000179178.10	gene	protein_coding	TMEM125	chr1	1.02013380266081	5.7189057635923	6.10668210664131	5.51433189797444e-09	1.1768745182256e-06	10.2055811754526
CARNS1	ENSG00000172508.10	gene	protein_coding	CARNS1	chr11	1.16901661140595	8.04213287643268	6.06563883983443	6.83568778312698e-09	1.33817047211506e-06	10.0185331262517
RP6-91H8.5	ENSG00000269945.1	gene	lincRNA	RP6-91H8.5	chr14	-1.02197573478299	1.90698775665741	-6.06453780786102	6.87510517938276e-09	1.33817047211506e-06	10.0125377319199
ANLN	ENSG00000011426.10	gene	protein_coding	ANLN	chr7	1.03286735353218	7.18169137256711	6.04530865211945	7.60054379574534e-09	1.44469711367566e-06	9.9091120985379
RP11-197K6.1	ENSG00000223812.5	gene	lincRNA	RP11-197K6.1	chr3	-1.09334451895436	1.75281778740943	-6.0233536793276	8.52076226597198e-09	1.50224743428332e-06	9.79675792214323
CNGB1	ENSG00000070729.13	gene	protein_coding	CNGB1	chr16	-1.2955960003362	2.75749929096366	-6.0048558613269	9.38010405579051e-09	1.58484674775961e-06	9.70708134859929
CLIC6	ENSG00000159212.12	gene	protein_coding	CLIC6	chr21	1.47602894151401	3.37011752024354	5.98847044150592	1.02118241710093e-08	1.6901611025895e-06	9.64130665410494
SLC5A11	ENSG00000158865.12	gene	protein_coding	SLC5A11	chr16	1.31630553925603	5.43160961081308	5.98380222308454	1.04617221718671e-08	1.70827986873508e-06	9.59450797411455
TF	ENSG00000091513.14	gene	protein_coding	TF	chr3	1.09729390357436	9.69111661808654	5.96079128075713	1.17837501095086e-08	1.84966864622158e-06	9.50506858698754
UGT8	ENSG00000174607.10	gene	protein_coding	UGT8	chr4	1.055302066954	6.80506260526417	5.9400569766358	1.31141975662007e-08	1.92209895654013e-06	9.38473682108241
SLC45A3	ENSG00000158715.5	gene	protein_coding	SLC45A3	chr1	1.04620072054469	5.1213411359133	5.922036195626	1.43891659351623e-08	2.04730062691519e-06	9.29011390920961
C1QL3	ENSG00000165985.9	gene	protein_coding	C1QL3	chr10	-1.24328630880187	3.17010111309429	-5.84576278660116	2.12670392434303e-08	2.76698965129765e-06	8.92574978923699
MAG	ENSG00000105695.14	gene	protein_coding	MAG	chr19	1.08991017997015	8.77146466325575	5.80165650513226	2.6617797741764e-08	3.10603864646135e-06	8.73252073302017
NPY1R	ENSG00000164128.6	gene	protein_coding	NPY1R	chr4	-1.01423886271471	3.52396808799771	-5.77905481968637	2.9849064570182e-08	3.32053610799878e-06	8.59601227916523
FAM183A	ENSG00000186973.10	gene	protein_coding	FAM183A	chr1	1.82666161290981	3.54219049139629	5.70361215577696	4.36617056933765e-08	4.21543372825337e-06	8.26796991305851
SLC47A2	ENSG00000180638.17	gene	protein_coding	SLC47A2	chr17	1.88950678131507	3.16394743718086	5.68354499526471	4.82830343175158e-08	4.41635638585829e-06	8.17375514012261
SLC27A6	ENSG00000113396.12	gene	protein_coding	SLC27A6	chr5	1.01069564856448	2.20708863084576	5.68354081808183	4.82840443336747e-08	4.41635638585829e-06	8.1625244113493
DYNLRB2	ENSG00000168589.14	gene	protein_coding	DYNLRB2	chr16	1.02612214856554	3.57777093088557	5.63589204273792	6.12555941414239e-08	5.08651401181175e-06	7.94767183066995
TCTEX1D1	ENSG00000152760.9	gene	protein_coding	TCTEX1D1	chr1	1.22000598241751	3.64089484574309	5.62712613425395	6.3987453163833e-08	5.24180045614834e-06	7.90185717433437
CFAP157	ENSG00000160401.14	gene	protein_coding	CFAP157	chr9	2.04594673465391	3.82513534363776	5.59176266802586	7.62676514272775e-08	5.91246441485737e-06	7.7361078084763
FAM81B	ENSG00000153347.9	gene	protein_coding	FAM81B	chr5	1.35148096095803	2.4022781726597	5.58562017720187	7.8623312652393e-08	5.9965680151496e-06	7.70349551588336
FAM95C	ENSG00000273036.2	gene	lincRNA	FAM95C	chr9	1.05962968743192	4.96113551138194	5.59088469472453	7.66000875992552e-08	5.91644486123771e-06	7.6971124411477
FOXJ1	ENSG00000129654.7	gene	protein_coding	FOXJ1	chr17	1.67862360560821	4.12733420548748	5.54433386329866	9.64043328943093e-08	6.94269269859411e-06	7.51538552056882
SPAG6	ENSG00000077327.15	gene	protein_coding	SPAG6	chr10	1.69099718120902	3.07554790019095	5.53505518456635	1.0091036626297e-07	7.1845554256188e-06	7.48078368148464
CLDN11	ENSG00000013297.10	gene	protein_coding	CLDN11	chr3	1.03316897547358	6.9999013447128	5.53489228096195	1.00991284651115e-07	7.1845554256188e-06	7.44385965817895
ZMYND10	ENSG00000004838.13	gene	protein_coding	ZMYND10	chr3	1.24744397211836	3.46709643962003	5.51570129089794	1.10980260300053e-07	7.651937261751e-06	7.38672013340183
CAPSL	ENSG00000152611.11	gene	protein_coding	CAPSL	chr5	1.60482475744	3.03737152260372	5.50204223789125	1.18670268081003e-07	7.97582216135582e-06	7.32888428038346
SPAG8	ENSG00000137098.13	gene	protein_coding	SPAG8	chr9	1.06250272777272	4.41705826219554	5.49745360721387	1.2136840538398e-07	8.11234423898966e-06	7.27193200488632
WDR38	ENSG00000136918.7	gene	protein_coding	WDR38	chr9	1.51000428131065	2.62470810372702	5.44977626345106	1.5318960274731e-07	9.55667444831295e-06	7.08468531863117
TMEM155	ENSG00000164112.12	gene	protein_coding	TMEM155	chr4	-1.35991201323904	3.43844161004143	-5.44878488470829	1.53930862267207e-07	9.56466450915241e-06	7.03500333078117
RP11-356K23.1	ENSG00000258752.1	gene	antisense	RP11-356K23.1	chr14	1.85380241354496	2.94584938757918	5.40052517778739	1.94565446173776e-07	1.13248260894928e-05	6.86557489407955
RSPH4A	ENSG00000111834.12	gene	protein_coding	RSPH4A	chr6	1.01862210000075	2.73340917543969	5.37260188650861	2.22665303229565e-07	1.22844599264746e-05	6.73929754349489
CAPS	ENSG00000105519.15	gene	protein_coding	CAPS	chr19	1.0915373622486	6.09644714649063	5.37544832475695	2.19629049413883e-07	1.22278598907089e-05	6.68833235344778
NTS	ENSG00000133636.10	gene	protein_coding	NTS	chr12	1.58268916142436	4.5100618596599	5.36744240907293	2.28273360986762e-07	1.24206114779594e-05	6.6600680443403
CALB1	ENSG00000104327.7	gene	protein_coding	CALB1	chr8	-1.41797219778725	3.93244191597504	-5.3645392076972	2.31489194064297e-07	1.25158490924097e-05	6.65564070626262
FAM166B	ENSG00000215187.10	gene	protein_coding	FAM166B	chr9	1.45997475285943	3.27912017783227	5.33132665097878	2.71565604495458e-07	1.38782285383343e-05	6.55006853544958
LRTM2	ENSG00000166159.10	gene	protein_coding	LRTM2	chr12	-1.14033726005282	3.53782940438536	-5.3160580336974	2.92183208879906e-07	1.46049866786985e-05	6.4257268609059
MAPK15	ENSG00000181085.14	gene	protein_coding	MAPK15	chr8	1.38038865081947	3.94536122495845	5.30953579076682	3.0144759603222e-07	1.48680303468508e-05	6.42029407575614
GRM2	ENSG00000164082.14	gene	protein_coding	GRM2	chr3	-1.11743926396836	3.22918389869308	-5.3009791022905	3.14036225321378e-07	1.53423722129902e-05	6.359299884668
C11orf88	ENSG00000183644.13	gene	protein_coding	C11orf88	chr11	1.39098948546382	2.33354781522431	5.14694799116428	6.50794373619193e-07	2.6042478799597e-05	5.73708554934611
FAM92B	ENSG00000153789.12	gene	protein_coding	FAM92B	chr16	1.55204232739748	2.45534929712995	5.08389391982105	8.73217537066873e-07	3.1289223382676e-05	5.46622393973329
CATIP	ENSG00000158428.3	gene	protein_coding	CATIP	chr2	1.06471980164798	2.09626160785782	5.05568226596511	9.95159374598187e-07	3.43923687272356e-05	5.34448344625212
CFAP45	ENSG00000213085.9	gene	protein_coding	CFAP45	chr1	1.5124072368132	2.91264853604351	4.98676153864888	1.36662462892916e-06	4.33283877465986e-05	5.04730475792957
CFAP73	ENSG00000186710.11	gene	protein_coding	CFAP73	chr12	1.69082917744322	3.45157322333301	4.98929704268621	1.35084308356554e-06	4.30183406062166e-05	5.04497163906298
CCDC114	ENSG00000105479.15	gene	protein_coding	CCDC114	chr19	1.54341562081782	3.28457194345654	4.97704815865961	1.42875292151715e-06	4.47958229130314e-05	4.99866690072417
ROPN1L	ENSG00000145491.11	gene	protein_coding	ROPN1L	chr5	1.14738491735342	3.2247210242159	4.95059211478049	1.61217001941461e-06	4.86048284663661e-05	4.87089107911986
TUBA4B	ENSG00000243910.7	gene	protein_coding	TUBA4B	chr2	1.30071787245898	2.39634151088278	4.88112586093856	2.20901032837803e-06	6.16607903678406e-05	4.60619089980582
STOML3	ENSG00000133115.11	gene	protein_coding	STOML3	chr13	1.39439616793657	2.14104301030615	4.88077700629269	2.21248951874743e-06	6.16607903678406e-05	4.60560706875212
SPAG17	ENSG00000155761.13	gene	protein_coding	SPAG17	chr1	1.15444702290309	2.22511376374983	4.86307527080574	2.39616586773336e-06	6.52110912326093e-05	4.53247142108038
LRRC46	ENSG00000141294.9	gene	protein_coding	LRRC46	chr17	1.36146966298215	2.99676659765784	4.8504181470498	2.53645553622762e-06	6.7518559295862e-05	4.47125785814687
DNAI2	ENSG00000171595.13	gene	protein_coding	DNAI2	chr17	1.20943643343745	2.12561174008912	4.8260997859165	2.8286227670613e-06	7.34475900988275e-05	4.37918386121703
CFAP77	ENSG00000188523.8	gene	protein_coding	CFAP77	chr9	1.18929936885319	2.08158334036083	4.8244125998944	2.8500579275602e-06	7.38465488578696e-05	4.37241021906083
NCDN	ENSG00000020129.15	gene	protein_coding	NCDN	chr1	-1.02662773869997	9.06832664832799	-4.79720265510139	3.21822849188021e-06	8.03071786743031e-05	4.24624624879565
TEKT1	ENSG00000167858.12	gene	protein_coding	TEKT1	chr17	1.13903656580411	2.68639051859394	4.77665994015121	3.52622660855031e-06	8.5101961115556e-05	4.163778789538
FAM216B	ENSG00000179813.6	gene	protein_coding	FAM216B	chr13	1.20895974436513	2.10937062646735	4.72483876029522	4.43504689087793e-06	0.000100084757123185	3.96286386443227
CFAP43	ENSG00000197748.12	gene	protein_coding	CFAP43	chr10	1.04248069390129	2.96509091680507	4.72735717757665	4.38607890815419e-06	9.9384095857444e-05	3.95915428677242
VWA3A	ENSG00000175267.14	gene	protein_coding	VWA3A	chr16	1.03470553203921	3.6007092150245	4.71003224489325	4.7337955985734e-06	0.000105470006330852	3.85243217884316
DYDC2	ENSG00000133665.12	gene	protein_coding	DYDC2	chr10	1.02653606963152	3.21553645413366	4.70625450675576	4.81307488661101e-06	0.000106942568028535	3.84809457603009
CFAP100	ENSG00000163885.11	gene	protein_coding	CFAP100	chr3	1.15216275993815	2.63379611906722	4.65511387262863	6.02086232945465e-06	0.000125310162938949	3.67269229246324
LRRC71	ENSG00000160838.13	gene	protein_coding	LRRC71	chr1	1.22687392886294	2.29199769008541	4.63020342261229	6.71033499625119e-06	0.000134524541233345	3.58201801090708
C7orf57	ENSG00000164746.13	gene	protein_coding	C7orf57	chr7	1.02876451062287	2.09421465772862	4.58033040881389	8.32652179005266e-06	0.000156315027123442	3.38455513728978
PTER	ENSG00000165983.14	gene	protein_coding	PTER	chr10	-1.20742152746803	5.50623748611586	-4.60498972184108	7.48542916051865e-06	0.000144563210323558	3.37691244082542
DLEC1	ENSG00000008226.19	gene	protein_coding	DLEC1	chr3	1.0093497410694	2.66937789595362	4.49207000894816	1.21481013567448e-05	0.000203801991341919	3.02890039095213
FAM163B	ENSG00000196990.8	gene	protein_coding	FAM163B	chr9	-1.11646178376091	4.49048219052371	-4.50598338943839	1.14499292940417e-05	0.000196440479473153	2.96914229594012
SLC30A3	ENSG00000115194.10	gene	protein_coding	SLC30A3	chr2	-1.12564983290245	4.82616540724255	-4.49991170581677	1.17497235426468e-05	0.00019976993276911	2.94887299576957
RP11-493L12.6	ENSG00000258116.1	gene	processed_pseudogene	RP11-493L12.6	chr12	1.31152746447257	2.14116271456813	4.39179770447779	1.85371600577829e-05	0.00027704726820642	2.65199714747092
CFAP52	ENSG00000166596.14	gene	protein_coding	CFAP52	chr17	1.02301509204091	3.011882860826	4.39062139161585	1.86285151348086e-05	0.000277720556678096	2.60049238164881
LRRC74B	ENSG00000187905.10	gene	protein_coding	LRRC74B	chr22	1.12228278000628	2.11974353954152	4.27121138208434	3.05291218385775e-05	0.000397494620644928	2.19739770630149
IGFBP7-AS1	ENSG00000245067.6	gene	antisense	IGFBP7-AS1	chr4	1.16790831985906	2.96011651882223	4.1965384138104	4.13663087563576e-05	0.000504237712146619	1.89570307941864
ICAM5	ENSG00000105376.4	gene	protein_coding	ICAM5	chr19	-1.08096387533241	6.25239223125333	-4.21839872163876	3.78619111183151e-05	0.000470985614154207	1.88862011862883
ODF3B	ENSG00000177989.13	gene	protein_coding	ODF3B	chr22	1.08140151978749	4.22625644155952	4.15238678476169	4.94128899319489e-05	0.000573576150784502	1.65296571357102
TNNT2	ENSG00000118194.18	gene	protein_coding	TNNT2	chr1	-1.18053096862839	3.25548525937959	-3.80336343580975	0.000191606223673975	0.00155912355250429	0.34612167041876
NPTX1	ENSG00000171246.5	gene	protein_coding	NPTX1	chr17	-1.33209097679276	5.93422993617954	-3.7182266181069	0.000263056153994844	0.00198700907379527	0.0982449985240956
RP11-13P5.2	ENSG00000233682.3	gene	antisense	RP11-13P5.2	chr6	1.23054235660514	3.3250014420816	3.59441749587048	0.000413029903840248	0.00282078445612138	-0.291438630513366
ANKRD20A19P	ENSG00000196593.9	gene	transcribed_unprocessed_pseudogene	ANKRD20A19P	chr13	-1.07195947338016	3.01111815107743	-3.59527901198291	0.000411751820229994	0.00281548578079143	-0.372887084736597
PDYN	ENSG00000101327.8	gene	protein_coding	PDYN	chr20	-1.12746269739287	3.97683681778311	-3.41540660174989	0.000776806974627862	0.00452471000543354	-0.933778314648572
IL1RL1	ENSG00000115602.16	gene	protein_coding	IL1RL1	chr2	-1.02872025652634	2.33494555444103	-3.32057547436321	0.00107472967874849	0.0057242060166267	-1.05433867639431
