type	gene_type	gene_name	gene_id	seqnames	logFC	AveExpr	t	P.Value	adj.P.Val	B
gene	protein_coding	C1QL3	ENSG00000165985.9	chr10	-1.243330784	3.170114296	-5.846035306	2.12E-08	2.76E-06	8.927071744
gene	protein_coding	MAG	ENSG00000105695.14	chr19	1.089906088	8.771477847	5.801804652	2.66E-08	3.11E-06	8.733228279
gene	protein_coding	NPY1R	ENSG00000164128.6	chr4	-1.014247114	3.523981271	-5.779240038	2.98E-08	3.32E-06	8.596904311
gene	protein_coding	FAM183A	ENSG00000186973.10	chr1	1.826621831	3.542203675	5.703591261	4.37E-08	4.22E-06	8.267871802
gene	protein_coding	SLC47A2	ENSG00000180638.17	chr17	1.889492837	3.163960621	5.683684711	4.82E-08	4.41E-06	8.174412458
gene	protein_coding	SLC27A6	ENSG00000113396.12	chr5	1.010709964	2.207101814	5.683776572	4.82E-08	4.41E-06	8.163631316
gene	protein_coding	DYNLRB2	ENSG00000168589.14	chr16	1.026099545	3.577784114	5.635897278	6.13E-08	5.09E-06	7.947698276
gene	protein_coding	TCTEX1D1	ENSG00000152760.9	chr1	1.219990977	3.640908029	5.627227053	6.40E-08	5.24E-06	7.902334867
gene	protein_coding	CFAP157	ENSG00000160401.14	chr9	2.045913655	3.825148527	5.591810484	7.62E-08	5.92E-06	7.736334057
gene	protein_coding	FAM81B	ENSG00000153347.9	chr5	1.351499384	2.402291356	5.586043427	7.85E-08	5.98E-06	7.705454937
gene	lincRNA	FAM95C	ENSG00000273036.2	chr9	1.059624163	4.961148695	5.590893886	7.66E-08	5.92E-06	7.697154907
gene	protein_coding	FOXJ1	ENSG00000129654.7	chr17	1.678618145	4.127347389	5.544427851	9.64E-08	6.94E-06	7.515826162
gene	protein_coding	SPAG6	ENSG00000077327.15	chr10	1.690991616	3.075561084	5.535252868	1.01E-07	7.18E-06	7.481695304
gene	protein_coding	CLDN11	ENSG00000013297.10	chr3	1.033169484	6.999914528	5.535030985	1.01E-07	7.18E-06	7.444500256
gene	protein_coding	ZMYND10	ENSG00000004838.13	chr3	1.247409273	3.467109623	5.515709355	1.11E-07	7.65E-06	7.386760067
gene	protein_coding	CAPSL	ENSG00000152611.11	chr5	1.60483834	3.037384706	5.502304453	1.19E-07	7.97E-06	7.330089336
gene	protein_coding	SPAG8	ENSG00000137098.13	chr9	1.062494442	4.417071446	5.497635886	1.21E-07	8.11E-06	7.272781894
gene	protein_coding	WDR38	ENSG00000136918.7	chr9	1.510014105	2.624721287	5.450110668	1.53E-07	9.54E-06	7.086204874
gene	protein_coding	TMEM155	ENSG00000164112.12	chr4	-1.359863135	3.438454793	-5.448646786	1.54E-07	9.56E-06	7.034359929
gene	antisense	RP11-356K23.1	ENSG00000258752.1	chr14	1.853821166	2.945862571	5.400763933	1.94E-07	1.13E-05	6.866656839
gene	protein_coding	RSPH4A	ENSG00000111834.12	chr6	1.018591421	2.733422359	5.372682431	2.23E-07	1.23E-05	6.739661021
gene	protein_coding	CAPS	ENSG00000105519.15	chr19	1.091547407	6.09646033	5.375690128	2.19E-07	1.22E-05	6.689435023
gene	protein_coding	NTS	ENSG00000133636.10	chr12	1.582716599	4.510075043	5.367579835	2.28E-07	1.24E-05	6.660692264
gene	protein_coding	CALB1	ENSG00000104327.7	chr8	-1.417987629	3.932455099	-5.3647351	2.31E-07	1.25E-05	6.65653085
gene	protein_coding	FAM166B	ENSG00000215187.10	chr9	1.459944026	3.279133361	5.331391497	2.71E-07	1.39E-05	6.550361921
gene	protein_coding	LRTM2	ENSG00000166159.10	chr12	-1.140360705	3.537842588	-5.316245959	2.92E-07	1.46E-05	6.426577001
gene	protein_coding	MAPK15	ENSG00000181085.14	chr8	1.380392668	3.945374408	5.309694809	3.01E-07	1.49E-05	6.421016894
gene	protein_coding	GRM2	ENSG00000164082.14	chr3	-1.117485966	3.229197082	-5.301210445	3.14E-07	1.54E-05	6.360346419
gene	protein_coding	C11orf88	ENSG00000183644.13	chr11	1.390995991	2.333560999	5.14733729	6.50E-07	2.60E-05	5.738777226
gene	protein_coding	FAM92B	ENSG00000153789.12	chr16	1.55203475	2.45536248	5.084106313	8.72E-07	3.13E-05	5.467139096
gene	protein_coding	CATIP	ENSG00000158428.3	chr2	1.064710897	2.096274791	5.055983339	9.94E-07	3.43E-05	5.345773878
gene	protein_coding	CFAP45	ENSG00000213085.9	chr1	1.512403831	2.912661719	4.986952011	1.37E-06	4.33E-05	5.048116517
gene	protein_coding	CFAP73	ENSG00000186710.11	chr12	1.6908131	3.451586407	4.989381406	1.35E-06	4.30E-05	5.045338315
gene	protein_coding	CCDC114	ENSG00000105479.15	chr19	1.543386943	3.284585127	4.977110263	1.43E-06	4.48E-05	4.99893353
gene	protein_coding	ROPN1L	ENSG00000145491.11	chr5	1.147383895	3.224734208	4.95068527	1.61E-06	4.86E-05	4.871296832
gene	protein_coding	TUBA4B	ENSG00000243910.7	chr2	1.300734752	2.396354694	4.881444316	2.21E-06	6.16E-05	4.607518439
gene	protein_coding	STOML3	ENSG00000133115.11	chr13	1.394391733	2.141056194	4.881034904	2.21E-06	6.16E-05	4.606680604
gene	protein_coding	SPAG17	ENSG00000155761.13	chr1	1.154433769	2.225126947	4.863384341	2.39E-06	6.51E-05	4.533753348
gene	protein_coding	LRRC46	ENSG00000141294.9	chr17	1.361424337	2.996779781	4.850485527	2.54E-06	6.76E-05	4.471538832
gene	protein_coding	DNAI2	ENSG00000171595.13	chr17	1.209422354	2.125624923	4.826363299	2.83E-06	7.34E-05	4.380269859
gene	protein_coding	CFAP77	ENSG00000188523.8	chr9	1.189294743	2.081596524	4.824692491	2.85E-06	7.38E-05	4.373563263
gene	protein_coding	NCDN	ENSG00000020129.15	chr1	-1.026631061	9.068339832	-4.797347708	3.22E-06	8.03E-05	4.246833571
gene	protein_coding	TEKT1	ENSG00000167858.12	chr17	1.139009647	2.686403702	4.776764962	3.52E-06	8.51E-05	4.16421183
gene	protein_coding	FAM216B	ENSG00000179813.6	chr13	1.208955447	2.10938381	4.725123845	4.43E-06	0.000100064	3.964018998
gene	protein_coding	CFAP43	ENSG00000197748.12	chr10	1.042429835	2.9651041	4.72738918	4.39E-06	9.94E-05	3.959285108
gene	protein_coding	VWA3A	ENSG00000175267.14	chr16	1.034651841	3.600722398	4.709930555	4.74E-06	0.000105517	3.852021217
gene	protein_coding	DYDC2	ENSG00000133665.12	chr10	1.026528407	3.215549637	4.706369558	4.81E-06	0.000106889	3.848572298
gene	protein_coding	CFAP100	ENSG00000163885.11	chr3	1.152136104	2.633809302	4.65524256	6.02E-06	0.00012524	3.673210396
gene	protein_coding	LRRC71	ENSG00000160838.13	chr1	1.226855646	2.292010873	4.630465446	6.70E-06	0.000134441	3.583060788
gene	protein_coding	C7orf57	ENSG00000164746.13	chr7	1.028750438	2.094227841	4.580563811	8.32E-06	0.000156158	3.385473276
gene	protein_coding	PTER	ENSG00000165983.14	chr10	-1.20743988	5.506250669	-4.605154037	7.48E-06	0.000144552	3.377568898
gene	protein_coding	DLEC1	ENSG00000008226.19	chr3	1.009316424	2.669391079	4.492246487	1.21E-05	0.000203671	3.029585937
gene	protein_coding	FAM163B	ENSG00000196990.8	chr9	-1.116516339	4.490495374	-4.506254664	1.14E-05	0.000196231	2.970218556
gene	protein_coding	SLC30A3	ENSG00000115194.10	chr2	-1.12566741	4.826178591	-4.500103288	1.17E-05	0.000199607	2.949625883
gene	processed_pseudogene	RP11-493L12.6	ENSG00000258116.1	chr12	1.311523929	2.141175898	4.39210442	1.85E-05	0.000276988	2.65316112
gene	protein_coding	CFAP52	ENSG00000166596.14	chr17	1.022974099	3.011896044	4.390602386	1.86E-05	0.000277774	2.600425672
gene	protein_coding	LRRC74B	ENSG00000187905.10	chr22	1.122273521	2.119756723	4.271485297	3.05E-05	0.000397472	2.198410338
gene	antisense	IGFBP7-AS1	ENSG00000245067.6	chr4	1.167907847	2.960129702	4.196730079	4.13E-05	0.000504092	1.896411341
gene	protein_coding	ICAM5	ENSG00000105376.4	chr19	-1.080972553	6.252405415	-4.2185473	3.78E-05	0.000470908	1.889160852
gene	protein_coding	ODF3B	ENSG00000177989.13	chr22	1.081368599	4.226269625	4.152299159	4.94E-05	0.000573778	1.652654576
gene	protein_coding	TNNT2	ENSG00000118194.18	chr1	-1.180598574	3.255498443	-3.8036496	0.0001914	0.001557449	0.34710464
gene	protein_coding	NPTX1	ENSG00000171246.5	chr17	-1.332060368	5.93424312	-3.718248131	0.000263035	0.001987179	0.098291521
gene	antisense	RP11-13P5.2	ENSG00000233682.3	chr6	1.23049164	3.325014625	3.594316852	0.000413179	0.002820947	-0.291763026
gene	transcribed_unprocessed_pseudogene	ANKRD20A19P	ENSG00000196593.9	chr13	-1.072009429	3.011131334	-3.595462149	0.000411481	0.002815333	-0.372285633
gene	protein_coding	PDYN	ENSG00000101327.8	chr20	-1.127448797	3.976850001	-3.41545884	0.000776667	0.004523893	-0.933628133
gene	protein_coding	IL1RL1	ENSG00000115602.16	chr2	-1.028738543	2.334958738	-3.320666503	0.001074398	0.005721919	-1.054078902
