type	gene_type	gene_name	gene_id	seqnames	logFC	AveExpr	t	P.Value	adj.P.Val	B
TEKT1	gene	protein_coding	TEKT1	ENSG00000167858.12	chr17	2.11053180807403	2.68640370193079	11.6270062516714	5.16841109662987e-24	4.83644007619249e-21	43.8573255164812
WDR38	gene	protein_coding	WDR38	ENSG00000136918.7	chr9	2.41164927624005	2.62472128706387	11.5741734622492	7.43243025739232e-24	6.69744548749464e-21	43.4676737744916
FAM92B	gene	protein_coding	FAM92B	ENSG00000153789.12	chr16	2.69402655619815	2.4553624804668	11.5578799986417	8.31311886279687e-24	7.22350649756599e-21	43.3667072123519
RSPH1	gene	protein_coding	RSPH1	ENSG00000160188.9	chr21	1.36524970387972	5.80614290061149	11.4725987843941	1.49322492572546e-23	1.25276422216898e-20	42.8686952887014
C1orf194	gene	protein_coding	C1orf194	ENSG00000179902.12	chr1	1.67033283705921	4.82811828878604	11.4616660579508	1.60957058364918e-23	1.30536174333948e-20	42.7948179086306
FAM166B	gene	protein_coding	FAM166B	ENSG00000215187.10	chr9	2.36095054587541	3.27913336116913	11.4071092674419	2.34009814398904e-23	1.83659960784688e-20	42.4019749553897
VWA3A	gene	protein_coding	VWA3A	ENSG00000175267.14	chr16	1.91224835275322	3.60072239836135	11.2695143911811	6.0048536039377e-23	4.56556525574388e-20	41.487343744817
DNALI1	gene	protein_coding	DNALI1	ENSG00000163879.10	chr1	1.17728981069062	4.62030494843765	11.2588188487074	6.46065989907949e-23	4.76326834377588e-20	41.4262795487237
PPP1R32	gene	protein_coding	PPP1R32	ENSG00000162148.10	chr11	1.36078773081292	4.22923329729289	11.24847593447	6.93423041226343e-23	4.96205370383439e-20	41.3565969009937
DRC3	gene	protein_coding	DRC3	ENSG00000171962.17	chr17	1.77585074444174	3.16703714088948	11.1626529774561	1.2465376853812e-22	8.47397231558529e-20	40.7597967355866
ARMC3	gene	protein_coding	ARMC3	ENSG00000165309.13	chr10	1.69659986854253	2.24423368569159	11.1617957983887	1.25385533646145e-22	8.47397231558529e-20	40.679870558126
MAPK15	gene	protein_coding	MAPK15	ENSG00000181085.14	chr8	2.24116033079288	3.9453744082953	11.142696510383	1.42849102149323e-22	9.39329366295411e-20	40.6436748167911
C11orf88	gene	protein_coding	C11orf88	ENSG00000183644.13	chr11	2.29161483078015	2.33356099856116	11.0153444718394	3.40388731613789e-22	2.17938364214828e-19	39.7066844330186
DYNLRB2	gene	protein_coding	DYNLRB2	ENSG00000168589.14	chr16	1.56476838247274	3.57778411422242	10.9856450248528	4.16665074195834e-22	2.59934903979093e-19	39.5827434854187
PTRH1	gene	protein_coding	PTRH1	ENSG00000187024.13	chr9	1.39691589746918	4.33865208564748	10.9581023670022	5.0254716834584e-22	3.05674315146357e-19	39.4072376895659
LRRC46	gene	protein_coding	LRRC46	ENSG00000141294.9	chr17	2.32089872957257	2.99677978099469	10.9102167760522	6.95945864053463e-22	4.12984460302945e-19	39.056925554858
EFCAB1	gene	protein_coding	EFCAB1	ENSG00000034239.10	chr8	1.94724819410713	2.96606576282767	10.8901763206004	7.97464747102056e-22	4.61959935642691e-19	38.934322867571
DNAI1	gene	protein_coding	DNAI1	ENSG00000122735.15	chr9	1.75926861062529	2.64430610740744	10.8475531051639	1.06513613556011e-21	6.02668887864593e-19	38.6282614416688
TUBA4B	gene	protein_coding	TUBA4B	ENSG00000243910.7	chr2	2.24490081029909	2.39635469421963	10.8009778360509	1.46091885567073e-21	8.07821721783383e-19	38.3052404919306
DYDC2	gene	protein_coding	DYDC2	ENSG00000133665.12	chr10	1.84087830868042	3.21554963747051	10.7501741844334	2.06134351502004e-21	1.11449972712083e-18	38.0136720460035
CFAP43	gene	protein_coding	CFAP43	ENSG00000197748.12	chr10	1.84270891281121	2.96510410014192	10.7437761400322	2.15262989255549e-21	1.1385540279538e-18	37.954171550626
CFAP53	gene	protein_coding	CFAP53	ENSG00000172361.5	chr18	1.66198585371437	3.40508454019137	10.7284789984539	2.38755421868458e-21	1.23594030086374e-18	37.8632577641032
CCDC146	gene	protein_coding	CCDC146	ENSG00000135205.14	chr7	1.10284198465987	4.03516284361682	10.70047576612	2.88577490213809e-21	1.46272715352124e-18	37.6887898410638
CFAP77	gene	protein_coding	CFAP77	ENSG00000188523.8	chr9	2.04950399229291	2.08159652369768	10.6565421263945	3.8841169114742e-21	1.92858294808505e-18	37.3307549154507
FAM216B	gene	protein_coding	FAM216B	ENSG00000179813.6	chr13	2.14139939335997	2.10938380980421	10.5664283519735	7.13749984487966e-21	3.47310742451845e-18	36.7524961472259
MORN5	gene	protein_coding	MORN5	ENSG00000185681.12	chr9	1.45852761346752	3.59555715000957	10.5165363717697	9.99107470318178e-21	4.76633034369437e-18	36.4681514229818
TEKT2	gene	protein_coding	TEKT2	ENSG00000092850.11	chr1	1.33861500587565	3.14435105768697	10.5018554121385	1.10295977870983e-20	5.16057911846347e-18	36.3677460437292
DLEC1	gene	protein_coding	DLEC1	ENSG00000008226.19	chr3	1.85379635376253	2.66939107929047	10.497163768265	1.13836446572469e-20	5.22573725492106e-18	36.305466294615
CFAP100	gene	protein_coding	CFAP100	ENSG00000163885.11	chr3	2.043064881429	2.63380930240407	10.4445356026597	1.62216604845068e-20	7.30875925163056e-18	35.9701612777421
C7orf57	gene	protein_coding	C7orf57	ENSG00000164746.13	chr7	1.85186644409136	2.09422784106547	10.2645004432838	5.42916206747175e-20	2.35877701967121e-17	34.7608043644028
MNS1	gene	protein_coding	MNS1	ENSG00000138587.5	chr15	1.33093122092364	3.39380635696759	10.1913114736137	8.85729323192919e-20	3.59163240554729e-17	34.3235571289005
DNAI2	gene	protein_coding	DNAI2	ENSG00000171595.13	chr17	2.03918823962959	2.12562492342597	10.1917331431117	8.83237604671893e-20	3.59163240554729e-17	34.2887645192098
IGFBP7-AS1	gene	antisense	IGFBP7-AS1	ENSG00000245067.6	chr4	2.22540856658246	2.96012970215908	10.1559158181107	1.12189036867778e-19	4.4498743723131e-17	34.0797939860741
STOML3	gene	protein_coding	STOML3	ENSG00000133115.11	chr13	2.33328397091258	2.141056193643	10.1543126413243	1.13395894403375e-19	4.4498743723131e-17	34.0548250650138
SPATA18	gene	protein_coding	SPATA18	ENSG00000163071.10	chr4	1.57219029763238	3.05747107979894	10.1335475939832	1.30246869155503e-19	5.03001004214825e-17	33.946075158795
CATIP	gene	protein_coding	CATIP	ENSG00000158428.3	chr2	1.71129995266237	2.09627479119467	10.1146866443831	1.47703002116361e-19	5.60082727309539e-17	33.7849669947287
ODF3B	gene	protein_coding	ODF3B	ENSG00000177989.13	chr22	2.04021778554643	4.22626962489637	10.1046635242865	1.57908231273316e-19	5.82107161648453e-17	33.7580283865416
RP11-192H23.8	gene	sense_intronic	RP11-192H23.8	ENSG00000264608.1	chr17	-1.19000713733662	4.4072091742579	-10.0353460327966	2.50518598705553e-19	9.09719030821806e-17	33.2849775201375
DNAAF1	gene	protein_coding	DNAAF1	ENSG00000154099.17	chr16	1.66350010278102	3.92145419525017	9.96894395754439	3.89460745187397e-19	1.39346763682491e-16	32.8674639294665
C9orf135	gene	protein_coding	C9orf135	ENSG00000204711.8	chr9	1.4097702198711	2.60944462345057	9.96538129254442	3.98780702337638e-19	1.40613543302532e-16	32.8459587713189
C11orf70	gene	protein_coding	C11orf70	ENSG00000137691.12	chr11	1.54250038955415	2.64164445826686	9.94792506945481	4.47755512240941e-19	1.53435093138339e-16	32.7186243539362
SPAG17	gene	protein_coding	SPAG17	ENSG00000155761.13	chr1	1.88483293415874	2.22512694708668	9.93945789083224	4.73623002311578e-19	1.60045106197787e-16	32.646173127246
CFAP65	gene	protein_coding	CFAP65	ENSG00000181378.13	chr2	1.49013823120228	2.13144955715731	9.92899714403072	5.07643616318726e-19	1.69191358699104e-16	32.583266837414
VWA3B	gene	protein_coding	VWA3B	ENSG00000168658.18	chr2	1.61890983531441	2.06539863443736	9.91641028914171	5.51817330024171e-19	1.81428589722812e-16	32.4978979212172
VIPR1	gene	protein_coding	VIPR1	ENSG00000114812.12	chr3	-1.10819381143659	3.43382885297336	-9.86923340758652	7.54202881428078e-19	2.44663414735268e-16	32.2093698674402
RP11-805F19.3	gene	TEC	RP11-805F19.3	ENSG00000279042.1	chr18	-1.62230594347568	2.666526632031	-9.85731319708575	8.16097905364414e-19	2.6125871101995e-16	32.1465692471184
CFAP161	gene	protein_coding	CFAP161	ENSG00000156206.13	chr15	1.52472812778794	1.97802257597912	9.84039001240319	9.12748060582698e-19	2.84707183512526e-16	32.0047489241653
LRRC71	gene	protein_coding	LRRC71	ENSG00000160838.13	chr1	2.08777343075653	2.29201087342226	9.83528978475606	9.44050594995967e-19	2.90743683243695e-16	31.9832283687756
CFAP70	gene	protein_coding	CFAP70	ENSG00000156042.17	chr10	1.54395192763918	3.1384828689667	9.79026017014745	1.27111927162825e-18	3.86579148483941e-16	31.7131047674494
FANK1	gene	protein_coding	FANK1	ENSG00000203780.10	chr10	1.18571686660474	3.32979195727206	9.74542385075339	1.70858547525167e-18	5.00841983287627e-16	31.4247259797492
IL13RA2	gene	protein_coding	IL13RA2	ENSG00000123496.7	chrX	1.36218138551233	3.15570152526713	9.72502918255215	1.95435139093653e-18	5.66063920731973e-16	31.2920141465753
PRR29	gene	protein_coding	PRR29	ENSG00000224383.7	chr17	1.47130918848828	4.37175177875487	9.65890867902221	3.01964807451511e-18	8.64329854740618e-16	30.8462043738521
EFCAB12	gene	protein_coding	EFCAB12	ENSG00000172771.11	chr3	1.52897244557356	2.98459495354658	9.57752235652505	5.1517486138121e-18	1.40845286291611e-15	30.3439829341832
DNAAF3	gene	protein_coding	DNAAF3	ENSG00000167646.13	chr19	1.6616544968072	2.02249661734704	9.57750986724627	5.15217035756405e-18	1.40845286291611e-15	30.3227841368026
TTLL9	gene	protein_coding	TTLL9	ENSG00000131044.16	chr20	1.06742432866196	3.03836562478166	9.51190516290521	7.91633215757184e-18	2.0622834831333e-15	29.9231526496569
WDR63	gene	protein_coding	WDR63	ENSG00000162643.12	chr1	1.49500353488813	2.05119816010083	9.50812261648325	8.11457355532834e-18	2.07818499580146e-15	29.880870294166
C9orf24	gene	protein_coding	C9orf24	ENSG00000164972.12	chr9	1.14821311898534	5.16640724569793	9.46600057174622	1.0685270362868e-17	2.6801301848307e-15	29.5910838253097
ANXA1	gene	protein_coding	ANXA1	ENSG00000135046.13	chr9	1.66156669059429	5.03932833891851	9.46039090110582	1.10838089701901e-17	2.751725226987e-15	29.570871062158
AGBL2	gene	protein_coding	AGBL2	ENSG00000165923.15	chr11	1.54804209542267	2.01882387566215	9.45588953538144	1.14142699194321e-17	2.79090650198822e-15	29.5474198605386
NHLRC4	gene	protein_coding	NHLRC4	ENSG00000257108.1	chr16	1.49473210251183	2.27700718410834	9.44894346877171	1.19435280699326e-17	2.8770894845689e-15	29.5131010388047
SLC27A6	gene	protein_coding	SLC27A6	ENSG00000113396.12	chr5	1.40530658680401	2.20710181418262	9.40983484755909	1.54123635124302e-17	3.57126480245168e-15	29.2668732330197
LY86-AS1	gene	antisense	LY86-AS1	ENSG00000216863.9	chr6	-1.27125814312362	1.99050482137919	-9.37617011325218	1.91894755325329e-17	4.32296240469005e-15	29.051404081719
RIBC1	gene	protein_coding	RIBC1	ENSG00000158423.16	chrX	1.19263335839167	2.38976098998926	9.36701411434761	2.03672706873066e-17	4.54619904424009e-15	28.9906140073884
CLIC6	gene	protein_coding	CLIC6	ENSG00000159212.12	chr21	1.89474597969099	3.37013070358039	9.36448918466826	2.07045267552753e-17	4.57946487232588e-15	28.9800739917265
EFHC2	gene	protein_coding	EFHC2	ENSG00000183690.12	chrX	1.01923799334	2.64414756279496	9.29603832610457	3.22973277998271e-17	6.89292969622626e-15	28.5485566952824
RP11-197K6.1	gene	lincRNA	RP11-197K6.1	ENSG00000223812.5	chr3	-1.45769099376993	1.75283097074628	-9.28862565659407	3.3888124144951e-17	7.16954835171008e-15	28.5001843955308
ZBBX	gene	protein_coding	ZBBX	ENSG00000169064.12	chr3	1.50367044647493	3.12572402821725	9.27958474643318	3.59341187621598e-17	7.4724539272081e-15	28.4416615488237
RP11-416N2.4	gene	antisense	RP11-416N2.4	ENSG00000273108.1	chr10	-1.04665330780677	3.71379829787146	-9.26940449637477	3.83852343727182e-17	7.90558712590972e-15	28.3410971225548
GRAMD2	gene	protein_coding	GRAMD2	ENSG00000175318.11	chr15	1.34957306437746	2.71321960868904	9.24913293357416	4.37717978231737e-17	8.87473200864846e-15	28.2514380970056
MYLK3	gene	protein_coding	MYLK3	ENSG00000140795.12	chr16	1.69174326471688	2.39838261048643	9.19259872575859	6.30960779689103e-17	1.23800611047064e-14	27.8917326879022
C1orf87	gene	protein_coding	C1orf87	ENSG00000162598.13	chr1	1.60974597461882	1.92015359689931	9.15122829343328	8.24114445900081e-17	1.51899276278401e-14	27.6191617682353
C4orf47	gene	protein_coding	C4orf47	ENSG00000205129.8	chr4	1.33136025187101	3.22991696760966	9.11305041545874	1.05402190500189e-16	1.9137576827385e-14	27.3927159512452
LRRC74B	gene	protein_coding	LRRC74B	ENSG00000187905.10	chr22	1.97669407555237	2.11975672287837	9.09662633658342	1.17157517902641e-16	2.11143882264537e-14	27.2796847220738
FGF17	gene	protein_coding	FGF17	ENSG00000158815.10	chr8	-1.04457459511817	4.03350955527019	-9.04944313040106	1.58678128731035e-16	2.79756440001891e-14	26.9446209147466
C6orf118	gene	protein_coding	C6orf118	ENSG00000112539.14	chr6	1.47011857915562	2.5656191476765	9.03623973746575	1.72717991338059e-16	3.00159194946785e-14	26.9099036453134
RASSF9	gene	protein_coding	RASSF9	ENSG00000198774.4	chr12	1.50267893589769	1.89403787435347	8.98123944353586	2.45751510426613e-16	4.15217656158298e-14	26.5576408078989
CLDN3	gene	protein_coding	CLDN3	ENSG00000165215.6	chr7	1.3025286964734	1.85836097186047	8.93088068363433	3.39166158444739e-16	5.50127508997367e-14	26.2453315547852
C10orf107	gene	protein_coding	C10orf107	ENSG00000183346.6	chr10	1.0486252056603	4.01056912528232	8.90264470359435	4.06189531376135e-16	6.50170480156668e-14	26.0482073579326
ST6GALNAC2	gene	protein_coding	ST6GALNAC2	ENSG00000070731.10	chr17	1.16965818797574	2.03744555020285	8.88670881909446	4.49661790743619e-16	7.05823959276919e-14	25.9738788041353
CFAP57	gene	protein_coding	CFAP57	ENSG00000243710.7	chr1	1.14848908568365	2.32589861716792	8.88300547424289	4.60408400107784e-16	7.18060024014256e-14	25.9535745663145
DRC7	gene	protein_coding	DRC7	ENSG00000159625.14	chr16	1.31243028076156	2.10907035143362	8.8806090492643	4.67498026067284e-16	7.24473055682612e-14	25.9352726387291
RIBC2	gene	protein_coding	RIBC2	ENSG00000128408.8	chr22	1.30541495523	1.9547012582956	8.87671224954559	4.79258560267067e-16	7.28772548206109e-14	25.9085870178073
RP11-493L12.6	gene	processed_pseudogene	RP11-493L12.6	ENSG00000258116.1	chr12	2.19418581013409	2.14117589790498	8.86357387880888	5.21117600379099e-16	7.778399519769e-14	25.8298307056926
LYPD6B	gene	protein_coding	LYPD6B	ENSG00000150556.16	chr2	-1.07370822694779	2.32677863011135	-8.86422827248085	5.18949313478733e-16	7.778399519769e-14	25.8148701485263
RP11-788A1.1	gene	unprocessed_pseudogene	RP11-788A1.1	ENSG00000274353.1	chr2	-1.12999191441725	1.4085274451277	-8.85629446200729	5.45852544088428e-16	8.07300164602628e-14	25.7833453046414
CCDC153	gene	protein_coding	CCDC153	ENSG00000248712.7	chr11	1.36007996401509	2.83319401624014	8.85033704084694	5.66960166766055e-16	8.3097234080832e-14	25.7507290199993
TPPP3	gene	protein_coding	TPPP3	ENSG00000159713.10	chr16	1.0038869430854	8.03517890955976	8.82688933093545	6.58206250284575e-16	9.47583317717379e-14	25.5727047868506
CCDC170	gene	protein_coding	CCDC170	ENSG00000120262.9	chr6	1.31952262831245	2.15745529273612	8.80656907761885	7.48982312036873e-16	1.06565728958229e-13	25.4787106479007
CD36	gene	protein_coding	CD36	ENSG00000135218.17	chr7	1.50172138314703	2.37391788094513	8.80331100624785	7.64650766209428e-16	1.08162518266717e-13	25.4592922994171
MAP3K19	gene	protein_coding	MAP3K19	ENSG00000176601.12	chr2	1.49921485732517	1.74711359119611	8.79061703874321	8.28863371856737e-16	1.15897964582037e-13	25.3742092229833
CCDC40	gene	protein_coding	CCDC40	ENSG00000141519.14	chr17	1.13026451928415	2.9477740073145	8.77303948569322	9.26705727777977e-16	1.28106536118399e-13	25.2690819087575
C22orf15	gene	protein_coding	C22orf15	ENSG00000169314.14	chr22	1.43473047725952	1.88728361101174	8.74446222884108	1.11081454241336e-15	1.50983898418531e-13	25.0925841338849
CFAP206	gene	protein_coding	CFAP206	ENSG00000272514.5	chr6	1.08861739102455	2.47537168565155	8.72541071941617	1.25328543329214e-15	1.6741163228997e-13	24.9775760732634
CCDC33	gene	protein_coding	CCDC33	ENSG00000140481.14	chr15	1.49501519952446	1.73372927601784	8.71417154692259	1.34569214294423e-15	1.76025214181898e-13	24.9033772373789
ZMAT4	gene	protein_coding	ZMAT4	ENSG00000165061.14	chr8	-1.40780885648485	3.26608879885234	-8.69757418000928	1.49465480177589e-15	1.92407149879404e-13	24.7427844737147
NEK5	gene	protein_coding	NEK5	ENSG00000197168.11	chr13	1.16653524042092	2.6832012530061	8.68572226369304	1.61093430900973e-15	2.03077884653921e-13	24.7318747799731
RP11-301G7.1	gene	lincRNA	RP11-301G7.1	ENSG00000272479.1	chr8	-1.28140144964777	2.27018194515073	-8.67118167169114	1.76591973604048e-15	2.19208301927882e-13	24.6328528909749
TTC29	gene	protein_coding	TTC29	ENSG00000137473.17	chr4	1.23633695448347	1.68280505257514	8.65438752341745	1.96341665807689e-15	2.38849636455054e-13	24.5351269087454
CTD-2544H17.1	gene	lincRNA	CTD-2544H17.1	ENSG00000249621.1	chr5	1.38567844603215	1.69175185661526	8.59857621918979	2.79095755589589e-15	3.28038634468343e-13	24.1939134305305
NTS	gene	protein_coding	NTS	ENSG00000133636.10	chr12	2.14487608067535	4.51007504299676	8.58188091253797	3.10001224835446e-15	3.55770273596528e-13	24.0317628769286
CCDC81	gene	protein_coding	CCDC81	ENSG00000149201.9	chr11	1.21570048964897	2.2279860707686	8.55996737684548	3.55772707284915e-15	4.02602324104278e-13	23.9595353379474
SMIM5	gene	protein_coding	SMIM5	ENSG00000204323.5	chr17	1.07641444175811	3.18659423114511	8.53410995450248	4.18468430072706e-15	4.58618779444546e-13	23.7910848957461
CNGB1	gene	protein_coding	CNGB1	ENSG00000070729.13	chr16	-1.65745198931387	2.75751247430051	-8.50218626270951	5.11169286958836e-15	5.38387391848852e-13	23.5419411812316
DTHD1	gene	protein_coding	DTHD1	ENSG00000197057.9	chr4	1.41315824031117	1.74860571145727	8.45849280635675	6.71861402944878e-15	6.83949285926731e-13	23.3405939041771
CCDC60	gene	protein_coding	CCDC60	ENSG00000183273.6	chr12	1.29135078392546	1.61992825117915	8.41996770574018	8.54540802367256e-15	8.41739988728556e-13	23.1066972489163
RP11-569D9.5	gene	protein_coding	RP11-569D9.5	ENSG00000283361.1	chr13	1.42123678844098	2.35996525388593	8.39316619990673	1.00989738553085e-14	9.71177999603378e-13	22.9462470639993
FRMPD2	gene	protein_coding	FRMPD2	ENSG00000170324.20	chr10	1.21536409056729	2.19027141097582	8.37560542967852	1.12656073583728e-14	1.05827114683093e-12	22.8398413295705
RP11-259K15.2	gene	lincRNA	RP11-259K15.2	ENSG00000258844.1	chr14	1.33262354475825	4.70641463590256	8.37590466730025	1.12446503625349e-14	1.05827114683093e-12	22.7773385797423
WI2-2118C23.2	gene	processed_pseudogene	WI2-2118C23.2	ENSG00000276520.1	chr1	-1.10956940911822	1.59906036233372	-8.29973012946352	1.80462241238496e-14	1.60242566763964e-12	22.3801916180518
RP11-863P13.6	gene	lincRNA	RP11-863P13.6	ENSG00000260166.1	chr16	-1.08831282583063	1.73170228585415	-8.27121834132971	2.1531131630154e-14	1.89116401646804e-12	22.1896795662784
CFAP58	gene	protein_coding	CFAP58	ENSG00000120051.14	chr10	1.0837925354115	1.90402007001156	8.25989553216482	2.30932986505364e-14	1.96454530128514e-12	22.1423129452009
NGB	gene	protein_coding	NGB	ENSG00000165553.4	chr14	-1.10990592830322	3.37715537822422	-8.23076388630165	2.76479479699497e-14	2.28979428400029e-12	21.907260689129
CFAP46	gene	protein_coding	CFAP46	ENSG00000171811.13	chr10	1.03881740099235	2.86594004246988	8.18974206932162	3.56070433179036e-14	2.78559281004693e-12	21.7061643879387
DNAH9	gene	protein_coding	DNAH9	ENSG00000007174.17	chr17	1.01280428730979	2.74022655521716	8.15332948178949	4.4550628563887e-14	3.35577954476585e-12	21.4762739007501
RP11-503N18.4	gene	sense_intronic	RP11-503N18.4	ENSG00000248399.1	chr4	1.57348472322918	2.06645817740596	8.07636553923689	7.14321139417658e-14	4.99409003506656e-12	21.0455882073575
RP11-203H19.2	gene	TEC	RP11-203H19.2	ENSG00000279328.1	chr3	1.46570144047293	2.12106318505196	8.06448272854867	7.68192536684115e-14	5.26482377958437e-12	20.9746914151999
RP11-423H2.3	gene	antisense	RP11-423H2.3	ENSG00000249684.5	chr5	-1.06773535049275	2.70786781190823	-8.06106592728923	7.84414562900518e-14	5.34588412195227e-12	20.8698896003588
MED28P8	gene	processed_pseudogene	MED28P8	ENSG00000242598.1	chr1	-1.21614057527313	1.68146357131277	-7.97652920866795	1.31375059241045e-13	8.2807129309187e-12	20.4528612989493
C11orf16	gene	protein_coding	C11orf16	ENSG00000176029.13	chr11	1.16577928312637	1.51767224373019	7.95977485835311	1.45468349510986e-13	9.00571232468776e-12	20.356015029852
OTOF	gene	protein_coding	OTOF	ENSG00000115155.16	chr2	-1.09213612426916	1.73226410304998	-7.92002479154405	1.85177575280146e-13	1.09887083086974e-11	20.0652479560881
PIH1D3	gene	protein_coding	PIH1D3	ENSG00000080572.12	chrX	1.2022018136052	1.51999130000944	7.87204141839665	2.47618886627876e-13	1.39135508352338e-11	19.8400544018916
ARMC4	gene	protein_coding	ARMC4	ENSG00000169126.15	chr10	1.03258846647017	1.82418755506155	7.86361709537818	2.60556195906088e-13	1.45686783151388e-11	19.7898132300186
GRM2	gene	protein_coding	GRM2	ENSG00000164082.14	chr3	-1.48987947336744	3.22919708202993	-7.85608612809347	2.72686651822994e-13	1.51692817522756e-11	19.6365849755383
ATP4B	gene	protein_coding	ATP4B	ENSG00000186009.4	chr13	1.10882671628071	1.59082597668728	7.83469535388838	3.1027487951087e-13	1.67755284855544e-11	19.6206228191321
AKAP14	gene	protein_coding	AKAP14	ENSG00000186471.12	chrX	1.001674152289	1.98794693931275	7.8337214439781	3.12103229463468e-13	1.68369657934505e-11	19.6084394313462
AP000280.66	gene	TEC	AP000280.66	ENSG00000279690.1	chr21	1.27617219240487	2.54602701186023	7.82737280807534	3.24285794154798e-13	1.7455472061474e-11	19.5738963106875
RP11-482M8.3	gene	antisense	RP11-482M8.3	ENSG00000269935.1	chr16	-1.30993942435802	4.45014635072786	-7.78714068412886	4.13198870560551e-13	2.14810438477312e-11	19.2206830160138
