type	gene_type	gene_name	gene_id	seqnames	logFC	AveExpr	t	P.Value	adj.P.Val	B
BDNF	gene	protein_coding	BDNF	ENSG00000176697.18	chr11	-2.07528603998484	2.76665224625118	-5.89481730577709	3.11808383657947e-07	0.000425533538326326	6.5909879545788
UPP2-IT1	gene	sense_intronic	UPP2-IT1	ENSG00000237327.1	chr2	-1.14542466232686	1.42703838823448	-5.98867279799958	2.22750658847895e-07	0.000407795894714593	6.56344111494943
TLL1	gene	protein_coding	TLL1	ENSG00000038295.7	chr4	-1.45267050026962	1.83477049540863	-5.88771314092578	3.19839337615312e-07	0.000425533538326326	6.52192192569711
FAM117A	gene	protein_coding	FAM117A	ENSG00000121104.7	chr17	-1.06818647503127	3.55586894350827	-5.84453306460636	3.73267342897512e-07	0.000425533538326326	6.4235455502205
HAGLR	gene	antisense	HAGLR	ENSG00000224189.6	chr2	1.96185339291052	3.87969484126494	5.84248472341799	3.7601117400774e-07	0.000425533538326326	6.41018569629951
LRMP	gene	protein_coding	LRMP	ENSG00000118308.15	chr12	-1.3239959332194	2.95482480755126	-5.77814622477634	4.73179396315155e-07	0.000485298234758403	6.19043325406021
HCG24	gene	antisense	HCG24	ENSG00000230313.1	chr6	-1.47879820521506	1.64239903993919	-5.83610906707031	3.84680472180732e-07	0.000425533538326326	6.18825366907892
CRTC1	gene	protein_coding	CRTC1	ENSG00000105662.15	chr19	-1.39924151928779	6.13716804867489	-5.7715917955369	4.84379965365556e-07	0.000485298234758403	6.17158779229034
RP11-482M8.3	gene	antisense	RP11-482M8.3	ENSG00000269935.1	chr16	-2.02781000400992	4.45399272165375	-5.76017938965236	5.04513623189445e-07	0.000485298234758403	6.14244253935319
CDH9	gene	protein_coding	CDH9	ENSG00000113100.9	chr5	-1.85703885639245	2.60332087751818	-5.73706203104475	5.47877022781236e-07	0.00050505130216717	6.06100550328455
CRHBP	gene	protein_coding	CRHBP	ENSG00000145708.10	chr5	1.57247063463244	3.76689836005051	5.71680008830104	5.88913295685249e-07	0.000521164710149618	5.99279206862792
CA14	gene	protein_coding	CA14	ENSG00000118298.10	chr1	1.5955354947611	4.17386317552276	5.67875657676712	6.74371675142234e-07	0.000549909155259995	5.86711022143736
RP6-91H8.5	gene	lincRNA	RP6-91H8.5	ENSG00000269945.1	chr14	-2.0246174081381	1.83409967931484	-5.68966059238268	6.48692594687055e-07	0.000549909155259995	5.83459023340875
LY86-AS1	gene	antisense	LY86-AS1	ENSG00000216863.9	chr6	-1.71885908545589	2.02628879420999	-5.66939624553317	6.97217810204184e-07	0.000549909155259995	5.82590337879406
UPP2	gene	protein_coding	UPP2	ENSG00000007001.12	chr2	-1.12750289262647	2.78660358892318	-5.66004129344959	7.2081746079099e-07	0.000549909155259995	5.76326137661062
AHRR	gene	protein_coding	AHRR	ENSG00000063438.16	chr5	-1.3746169101249	2.19013218774926	-5.64688025449254	7.55365347203103e-07	0.000557056764717382	5.75478806931062
DDIT4L	gene	protein_coding	DDIT4L	ENSG00000145358.6	chr4	-1.32984056119786	3.76979181147086	-5.59881790503564	8.9605791588079e-07	0.000639496300998277	5.60337906585993
GALNT6	gene	protein_coding	GALNT6	ENSG00000139629.15	chr12	1.42524725310989	3.57131943262377	5.53235093286429	1.13431076868902e-06	0.000694347650035862	5.3795056237458
PLEKHA2	gene	protein_coding	PLEKHA2	ENSG00000169499.14	chr8	-1.41905507922079	5.16653325173259	-5.52940073673296	1.14622986691404e-06	0.000694347650035862	5.37123222284387
RP11-863P13.4	gene	lincRNA	RP11-863P13.4	ENSG00000205037.2	chr16	-1.44280335018681	2.36569089592204	-5.50664869860712	1.2424139284809e-06	0.000694347650035862	5.28415620141217
RP11-33E12.2	gene	TEC	RP11-33E12.2	ENSG00000280099.1	chr1	-1.21547250978523	2.58151413388616	-5.49614494100041	1.28947411322522e-06	0.000694347650035862	5.25552825025064
POLE	gene	protein_coding	POLE	ENSG00000177084.16	chr12	-1.14848082047874	3.23036129704073	-5.49299655005278	1.30392061288721e-06	0.000694347650035862	5.25154626822464
OPN4	gene	protein_coding	OPN4	ENSG00000122375.11	chr10	-1.24995095381129	1.65553230203024	-5.52685580758213	1.15661123339292e-06	0.000694347650035862	5.24091750497649
RP11-247A12.7	gene	lincRNA	RP11-247A12.7	ENSG00000268707.1	chr9	-1.32374966936341	2.14499123801447	-5.50011773294807	1.27147075905637e-06	0.000694347650035862	5.23704091554105
ELK1	gene	protein_coding	ELK1	ENSG00000126767.17	chrX	-1.65717890868066	6.29213047178196	-5.48866529494438	1.32405688659771e-06	0.000694347650035862	5.22955926724069
ESYT3	gene	protein_coding	ESYT3	ENSG00000158220.13	chr3	-1.29222059493719	2.41755656864778	-5.49008005507359	1.31744595499665e-06	0.000694347650035862	5.22225240795169
BTBD9	gene	protein_coding	BTBD9	ENSG00000183826.16	chr6	-1.05993706145426	4.64010191960859	-5.4832790810817	1.34952761487715e-06	0.000694347650035862	5.21979497271135
TAF7L	gene	protein_coding	TAF7L	ENSG00000102387.15	chrX	-1.33467297806386	2.09457707894834	-5.45744919980209	1.47857479151089e-06	0.000726933081941931	5.10268557792095
KCNG3	gene	protein_coding	KCNG3	ENSG00000171126.7	chr2	-1.0495564380091	1.67209524354678	-5.46191769047447	1.45540760296545e-06	0.000726933081941931	5.0730035230684
TMEM120B	gene	protein_coding	TMEM120B	ENSG00000188735.12	chr12	-1.09248342624661	4.17922594676432	-5.4011248405605	1.80383673766407e-06	0.000867567043132172	4.94777768251794
RP11-423H2.3	gene	antisense	RP11-423H2.3	ENSG00000249684.5	chr5	-1.67615051642203	2.79773081905692	-5.38666390726156	1.89818315589384e-06	0.000874904252937401	4.90002417104353
RP11-490G2.2	gene	lincRNA	RP11-490G2.2	ENSG00000259946.1	chr1	-1.34420796587356	1.88620367781722	-5.38872700059439	1.8844304447286e-06	0.000874904252937401	4.87626543170931
KCNC4-AS1	gene	antisense	KCNC4-AS1	ENSG00000224965.1	chr1	-1.73529649853883	2.1955186556958	-5.37594528144985	1.97124738917797e-06	0.000890038310983132	4.85823713668072
PLK5	gene	protein_coding	PLK5	ENSG00000185988.11	chr19	-1.23749496705192	3.2977174415922	-5.36776734289506	2.02885675385946e-06	0.000897728536447735	4.8378012312921
KCNA4	gene	protein_coding	KCNA4	ENSG00000182255.6	chr11	-1.20461232400464	2.46893468219788	-5.33417987686142	2.28343644444615e-06	0.000953235822063345	4.71406664353552
LINC01549	gene	lincRNA	LINC01549	ENSG00000232560.6	chr21	1.49413070934595	3.07367537187178	5.33071713610056	2.31141348178839e-06	0.000953235822063345	4.71364315327562
NPY1R	gene	protein_coding	NPY1R	ENSG00000164128.6	chr4	-1.93326981246685	3.53885243427494	-5.3135949141359	2.45480850000589e-06	0.000968053234934751	4.65927038232712
SLC12A8	gene	protein_coding	SLC12A8	ENSG00000221955.10	chr3	-1.23857072114116	2.85274322065609	-5.30949559057516	2.4904232540863e-06	0.000968053234934751	4.64488809102613
NIPAL4	gene	protein_coding	NIPAL4	ENSG00000172548.14	chr5	1.4779617605414	3.31374142403386	5.30403000121477	2.53870328611279e-06	0.000968053234934751	4.62783432062226
TUBA8	gene	protein_coding	TUBA8	ENSG00000183785.14	chr22	-1.27419218672833	2.22992737835215	-5.30355428265934	2.54294901139237e-06	0.000968053234934751	4.61188512972233
ADAMTS16	gene	protein_coding	ADAMTS16	ENSG00000145536.15	chr5	-1.26611368649121	1.70593231395989	-5.29399365607977	2.62977902964362e-06	0.000969687187530591	4.58697617942386
CTD-2104P17.1	gene	transcribed_unprocessed_pseudogene	CTD-2104P17.1	ENSG00000231625.4	chr17	-1.26294506009065	1.72904627734991	-5.29926019881283	2.58159197528251e-06	0.000968053234934751	4.56523940754594
RP11-863P13.6	gene	lincRNA	RP11-863P13.6	ENSG00000260166.1	chr16	-1.57775623188056	1.74580435284036	-5.28550776508919	2.7092977489489e-06	0.000982631203241728	4.51062925554739
LLGL2	gene	protein_coding	LLGL2	ENSG00000073350.13	chr17	1.07666193998722	3.43938119787263	5.2674903938908	2.88609173875958e-06	0.00102559070464881	4.50171838188647
EPHA7	gene	protein_coding	EPHA7	ENSG00000135333.13	chr6	-1.41195486082536	3.09424866271627	-5.26411494652319	2.92045807235919e-06	0.00102559070464881	4.49706796035282
KLHL4	gene	protein_coding	KLHL4	ENSG00000102271.13	chrX	1.19173771505917	4.07629882384848	5.2510947256154	3.05684765926181e-06	0.00105671402521107	4.45451921915628
MYO5B	gene	protein_coding	MYO5B	ENSG00000167306.19	chr18	-1.19358591926609	2.10715082168172	-5.24244923511507	3.15086614845917e-06	0.00107245788720786	4.41892818710685
ADRA1B	gene	protein_coding	ADRA1B	ENSG00000170214.3	chr5	-1.61383757522057	3.15587721143206	-5.21865927814231	3.42456776288744e-06	0.0011276008091654	4.34829036526844
LRP2	gene	protein_coding	LRP2	ENSG00000081479.12	chr2	1.70499878372469	3.47907550222886	5.21524092005631	3.46577721132016e-06	0.0011276008091654	4.33771254923734
CTD-2297D10.2	gene	antisense	CTD-2297D10.2	ENSG00000250579.1	chr5	-1.46042372354761	1.88221471534553	-5.19091929391439	3.7734511224954e-06	0.0011517176996126	4.25539266214465
RP11-380L11.4	gene	antisense	RP11-380L11.4	ENSG00000270028.1	chr12	-1.19835052776131	5.3554892710149	-5.1888989344055	3.80018948073224e-06	0.0011517176996126	4.25031901313544
AC008069.1	gene	lincRNA	AC008069.1	ENSG00000223536.5	chr2	-1.25153740912963	1.41811276629015	-5.20464346687828	3.59666871585891e-06	0.00113675283813804	4.21358857045081
MYO1E	gene	protein_coding	MYO1E	ENSG00000157483.8	chr15	1.10422540650331	3.99199144876637	5.16495444888561	4.1316768106274e-06	0.00118162664364716	4.17309594208401
LGR5	gene	protein_coding	LGR5	ENSG00000139292.12	chr12	1.44624500140222	3.31698431775082	5.16371446027981	4.14959917016601e-06	0.00118162664364716	4.16996207352753
ADRA1A	gene	protein_coding	ADRA1A	ENSG00000120907.17	chr8	-1.0673743097297	2.22175960667778	-5.16190576631383	4.17587898269343e-06	0.00118162664364716	4.15643658506096
GRM1	gene	protein_coding	GRM1	ENSG00000152822.13	chr6	-1.53496903794066	3.02059242035751	-5.15894421940961	4.21926431753631e-06	0.00118162664364716	4.1533127432686
THOC3	gene	protein_coding	THOC3	ENSG00000051596.9	chr5	-1.92138881326536	3.72560422392995	-5.15893961151424	4.21933216634087e-06	0.00118162664364716	4.15314216286196
TARID	gene	antisense	TARID	ENSG00000227954.6	chr6	-1.29715732921906	1.25140817927122	-5.16800149593776	4.08795956653361e-06	0.00118162664364716	4.13841669947653
LINC01445	gene	lincRNA	LINC01445	ENSG00000231427.5	chr7	1.57455090944322	3.11172996076626	5.14251366177147	4.4681632222279e-06	0.0012204153472663	4.1011303725444
RP11-87E22.2	gene	antisense	RP11-87E22.2	ENSG00000248738.6	chr8	-1.45821916245984	1.37112319178046	-5.15071802273633	4.34212056941038e-06	0.00120081344347044	4.09711271262363
SGCG	gene	protein_coding	SGCG	ENSG00000102683.7	chr13	-1.15999018818506	1.80609909067294	-5.13363823941389	4.60857949914117e-06	0.00122843629926505	4.06718881168415
SMIM5	gene	protein_coding	SMIM5	ENSG00000204323.5	chr17	1.3146432897324	3.20102190840707	5.1003160670256	5.17567697417625e-06	0.0013245417969078	3.96363271746901
HPN	gene	protein_coding	HPN	ENSG00000105707.13	chr19	1.19694357631625	3.73319654094533	5.09558028752681	5.26166631784077e-06	0.0013245417969078	3.94781409340455
PCBP3	gene	protein_coding	PCBP3	ENSG00000183570.16	chr21	-1.11836669235489	3.39273448085737	-5.08874793632846	5.38821016641212e-06	0.0013245417969078	3.9243617933157
RP11-345N11.1	gene	sense_intronic	RP11-345N11.1	ENSG00000278840.1	chr15	-1.17930505394543	2.0821641126849	-5.09020073361637	5.36105386246205e-06	0.0013245417969078	3.87814374446728
ULBP2	gene	protein_coding	ULBP2	ENSG00000131015.4	chr6	-1.18609272358878	2.52765135558888	-5.07299187769577	5.69157748229256e-06	0.00138201492343407	3.86832160202067
RP11-496D24.2	gene	lincRNA	RP11-496D24.2	ENSG00000261121.1	chr4	1.37891990875208	2.98753802071081	5.01706955146693	6.91045384297149e-06	0.00161802451481959	3.69589349143008
PITPNM2	gene	protein_coding	PITPNM2	ENSG00000090975.12	chr12	-1.00119252905799	4.54434301015412	-5.01317068517318	7.00443044447252e-06	0.00161802451481959	3.67661851126544
FAM95C	gene	lincRNA	FAM95C	ENSG00000273036.2	chr9	2.04475786958766	4.86070497244154	5.00511005278545	7.20272789803707e-06	0.00163218914600832	3.65428587413429
SLC27A2	gene	protein_coding	SLC27A2	ENSG00000140284.10	chr15	-1.20403190733447	2.66497804137404	-4.9812637180874	7.82228873061977e-06	0.00166404149880992	3.58063611888786
RP11-805F19.3	gene	TEC	RP11-805F19.3	ENSG00000279042.1	chr18	-2.25310331913199	2.49986151251931	-4.98132095751995	7.8207405283748e-06	0.00166404149880992	3.56365148684246
IGSF10	gene	protein_coding	IGSF10	ENSG00000152580.8	chr3	-1.09689472101119	1.64044547174773	-4.98900684278671	7.61556972763159e-06	0.00165652322316986	3.56141713007523
PRKCQ-AS1	gene	processed_transcript	PRKCQ-AS1	ENSG00000237943.6	chr10	1.10111743596015	3.68539661448367	4.97484981785247	7.99769479501643e-06	0.00167799339111819	3.55730262567857
DUSP9	gene	protein_coding	DUSP9	ENSG00000130829.17	chrX	-1.20925068451066	3.2887838210364	-4.97250672655626	8.06273370235925e-06	0.00167799339111819	3.55181877337365
RASGRP3	gene	protein_coding	RASGRP3	ENSG00000152689.17	chr2	1.47126184496501	4.87433761048593	4.97062266329466	8.11540828284425e-06	0.00167799339111819	3.54328415114667
KCTD16	gene	protein_coding	KCTD16	ENSG00000183775.10	chr5	-1.21274995143293	3.18730125153646	-4.95860869571444	8.45934784234982e-06	0.00171555962938698	3.5047596846395
COL2A1	gene	protein_coding	COL2A1	ENSG00000139219.17	chr12	-1.41878755456534	1.52637648235423	-4.95481850687482	8.57080102690026e-06	0.00171555962938698	3.48858014125556
BTBD16	gene	protein_coding	BTBD16	ENSG00000138152.8	chr10	1.08139698794702	2.60077183549516	4.95315039169322	8.6203097514265e-06	0.00171555962938698	3.47668160855357
ANKRD26P3	gene	unprocessed_pseudogene	ANKRD26P3	ENSG00000237636.2	chr13	-1.03320828525657	1.12087877455918	-4.96652256711627	8.23121165585593e-06	0.00168617895068664	3.47304338876821
SH3TC2	gene	protein_coding	SH3TC2	ENSG00000169247.11	chr5	1.29454504750499	3.33175903850899	4.92259068377243	9.57872292190245e-06	0.00182689367176008	3.39153061895595
RP11-521D12.5	gene	lincRNA	RP11-521D12.5	ENSG00000243491.1	chr2	-1.16627664014936	1.83270845758329	-4.91456343960904	9.84738293357411e-06	0.0018620811967726	3.36309582949522
RP5-907C10.3	gene	TEC	RP5-907C10.3	ENSG00000279419.1	chr7	1.5312458149431	4.79245676977856	4.91012653879566	9.99904459370234e-06	0.00187279917806715	3.3475799197024
RP11-526D8.11	gene	unprocessed_pseudogene	RP11-526D8.11	ENSG00000275318.1	chr9	-1.55380555744076	3.71287167986963	-4.90768489620191	1.00834817305011e-05	0.00187279917806715	3.33660888243296
FLRT3	gene	protein_coding	FLRT3	ENSG00000125848.9	chr20	-1.2843964399983	3.10997010888113	-4.90554631488399	1.01580139833691e-05	0.00187279917806715	3.33248942396585
RP11-862L9.2	gene	TEC	RP11-862L9.2	ENSG00000279811.1	chr18	1.11871972456004	2.65281668278303	4.89909706931486	1.03860729392329e-05	0.0018834547353081	3.31801419974709
LYPD6B	gene	protein_coding	LYPD6B	ENSG00000150556.16	chr2	-1.3969896566803	2.36430155776895	-4.89431074046847	1.05585742425175e-05	0.00189916989058096	3.30189432110113
IGSF1	gene	protein_coding	IGSF1	ENSG00000147255.18	chrX	-1.21415855079466	2.74170013233776	-4.88235159978568	1.10019906360408e-05	0.00192840549076537	3.2653365310431
RP11-416N2.4	gene	antisense	RP11-416N2.4	ENSG00000273108.1	chr10	-1.40355527879499	3.69384341187324	-4.87918615821802	1.1122388829389e-05	0.00192840549076537	3.25303784108344
WNK4	gene	protein_coding	WNK4	ENSG00000126562.16	chr17	-1.21497304949783	2.06878171451078	-4.85790522129717	1.19661030262427e-05	0.00202516805106666	3.18698595381489
POSTN	gene	protein_coding	POSTN	ENSG00000133110.14	chr13	-1.35577401730813	1.71241011861115	-4.85729096128014	1.19913675054119e-05	0.00202516805106666	3.1860314079143
CTSLP8	gene	unprocessed_pseudogene	CTSLP8	ENSG00000234575.1	chr9	-1.899683614049	1.55777401905151	-4.8443990268576	1.25338682595919e-05	0.00208495715319708	3.14283054019194
FAM13C	gene	protein_coding	FAM13C	ENSG00000148541.12	chr10	1.00129228763699	4.66715394624202	4.84083135449924	1.26882099407017e-05	0.00209488027409018	3.12473600969406
FAM201A	gene	antisense	FAM201A	ENSG00000204860.4	chr9	1.06906288120159	3.05104745631562	4.82458468727837	1.34149937490554e-05	0.00213042776829309	3.08267509553821
SUDS3P1	gene	processed_pseudogene	SUDS3P1	ENSG00000249129.1	chr5	-1.27538281033894	1.8283232474326	-4.82136024666102	1.356402425681e-05	0.00213042776829309	3.06969568838049
TSPAN8	gene	protein_coding	TSPAN8	ENSG00000127324.8	chr12	1.30017039318412	2.66950947395483	4.80840256505961	1.4179482284233e-05	0.00216349562797497	3.03011309069032
RP11-640L9.2	gene	TEC	RP11-640L9.2	ENSG00000281100.1	chr3	-1.06360311542191	1.68839925160717	-4.82106874400777	1.35775770805155e-05	0.00213042776829309	3.02808681066529
IPO5P1	gene	transcribed_processed_pseudogene	IPO5P1	ENSG00000269837.1	chr19	-1.0976445704563	4.48603559892725	-4.81046602086815	1.40796694875965e-05	0.00216318477599711	3.02347478488733
CTB-78F1.1	gene	antisense	CTB-78F1.1	ENSG00000254187.1	chr5	-1.37263978646137	2.18089237032745	-4.79846655804894	1.46699126642909e-05	0.00220787175363791	2.99522456026581
RP4-740C4.7	gene	sense_intronic	RP4-740C4.7	ENSG00000272420.1	chr1	-1.09969335947559	3.70950138985288	-4.7922577597518	1.49847852729118e-05	0.00224002290120204	2.97142933327751
LDLRAP1	gene	protein_coding	LDLRAP1	ENSG00000157978.11	chr1	1.47343925125997	4.77393761563827	4.7849048408168	1.5366267745903e-05	0.00228163293698227	2.94850981761431
RP11-80P20.3	gene	TEC	RP11-80P20.3	ENSG00000280399.1	chr3	-1.33618458036885	1.91324246239224	-4.77999339157185	1.56263752212539e-05	0.00228952268473524	2.93781495141033
FAM153B	gene	protein_coding	FAM153B	ENSG00000182230.11	chr5	-1.71660410714258	3.25551437456372	-4.7815624176323	1.55428143109879e-05	0.00228952268473524	2.93662499841584
TTLL11	gene	protein_coding	TTLL11	ENSG00000175764.14	chr9	1.13129106493123	4.23049358174623	4.75758743349921	1.68688458119514e-05	0.00243925715518701	2.85902918119979
PRR5L	gene	protein_coding	PRR5L	ENSG00000135362.13	chr11	1.04069447344287	3.6622765755407	4.74397304006444	1.76706064356213e-05	0.00251133211589012	2.81981863136665
DGKB	gene	protein_coding	DGKB	ENSG00000136267.13	chr7	-1.18586618176022	3.55285516940389	-4.7414814409406	1.78213316848105e-05	0.00251133211589012	2.80732830567386
LINC00314	gene	lincRNA	LINC00314	ENSG00000178457.3	chr21	-1.58063737620669	1.50505702785508	-4.73471796777813	1.82368626448774e-05	0.00252170218222043	2.80036790658358
SYNJ2	gene	protein_coding	SYNJ2	ENSG00000078269.14	chr6	1.21957226951818	5.70882880844904	4.73643658117832	1.81303835811837e-05	0.00252170218222043	2.79615135349843
CNGB1	gene	protein_coding	CNGB1	ENSG00000070729.13	chr16	-2.20058233235229	2.81009121876948	-4.72089696717702	1.91157522122014e-05	0.00259458222050763	2.74316875407865
LINC01123	gene	lincRNA	LINC01123	ENSG00000204588.5	chr2	-1.14205598340122	2.91139492359934	-4.71275880348358	1.96525524792495e-05	0.0026192353677766	2.72870451700886
C1QL3	gene	protein_coding	C1QL3	ENSG00000165985.9	chr10	-1.87080853046144	3.14122354507071	-4.71415863002111	1.95591778275117e-05	0.0026192353677766	2.72112354830456
BCL11B	gene	protein_coding	BCL11B	ENSG00000127152.17	chr14	-1.17695574839476	3.69713817172297	-4.69041194984163	2.12037223450894e-05	0.00279559122879441	2.64297171415232
ZFP57	gene	protein_coding	ZFP57	ENSG00000204644.9	chr6	1.2092537852596	3.95066410380981	4.68658386001033	2.14812198922008e-05	0.00279559122879441	2.6391310030166
SEMA5B	gene	protein_coding	SEMA5B	ENSG00000082684.14	chr3	-1.10973196952736	3.81378006380751	-4.68801280885475	2.13772218399334e-05	0.00279559122879441	2.63683540533924
TP53TG5	gene	protein_coding	TP53TG5	ENSG00000124251.10	chr20	1.16835059885144	3.4106029427548	4.67699900902235	2.21917284735907e-05	0.00285447558575419	2.61520607608047
SCNN1G	gene	protein_coding	SCNN1G	ENSG00000166828.2	chr16	-1.33221641823511	1.49320407974783	-4.67860968212773	2.20707429792468e-05	0.00285447558575419	2.59957214595124
TRIM54	gene	protein_coding	TRIM54	ENSG00000138100.13	chr2	-1.70373279208247	2.7847842171644	-4.65312609792155	2.40629888480218e-05	0.00305959520272204	2.53483444597596
HPSE2	gene	protein_coding	HPSE2	ENSG00000172987.12	chr10	1.58646827731613	3.21050261696419	4.65466478997934	2.39378554338263e-05	0.00305959520272204	2.52696392589526
SSTR3	gene	protein_coding	SSTR3	ENSG00000278195.1	chr22	-1.20149218706534	2.53855217737084	-4.64330051391642	2.48772919019497e-05	0.00307925993141244	2.51375046492014
SCART1	gene	protein_coding	SCART1	ENSG00000214279.13	chr10	-2.11956583866595	2.98473816521795	-4.646803011656	2.45839708760589e-05	0.00307925993141244	2.50662067656802
PRB2	gene	protein_coding	PRB2	ENSG00000121335.11	chr12	-1.22745760497269	1.98811493901108	-4.64287029439799	2.49135566679997e-05	0.00307925993141244	2.50489221635929
ANKRD18A	gene	protein_coding	ANKRD18A	ENSG00000180071.19	chr9	1.14213226947747	2.45625791081067	4.63611041503889	2.54902149947252e-05	0.00313303064746278	2.49328981398582
PTH2R	gene	protein_coding	PTH2R	ENSG00000144407.9	chr2	-1.36536749617345	2.14743364500783	-4.62479890046233	2.64845173534839e-05	0.00314966367989201	2.45653523478272
NIPAL3	gene	protein_coding	NIPAL3	ENSG00000001461.16	chr1	1.1252323237154	6.09045709856009	4.62420624088988	2.65376470969277e-05	0.00314966367989201	2.44766693642449
XXyac-YM21GA2.3	gene	antisense	XXyac-YM21GA2.3	ENSG00000233884.1	chr9	-1.42620608773612	1.17919362107973	-4.62049402463692	2.68728150471672e-05	0.00316241574523153	2.4444033347001
DISP3	gene	protein_coding	DISP3	ENSG00000204624.7	chr1	-1.09794374249606	2.97392021861488	-4.60835899137244	2.79976307760467e-05	0.00326010306994346	2.38909579736591
NRN1	gene	protein_coding	NRN1	ENSG00000124785.8	chr6	-1.03412777734997	7.84952825261229	-4.5705776424215	3.18027972849797e-05	0.00350052282155667	2.2911006537921
MKL2	gene	protein_coding	MKL2	ENSG00000186260.16	chr16	-1.1405378550631	5.01387456163374	-4.57107335886476	3.17497390229086e-05	0.00350052282155667	2.2683004442877
HIPK4	gene	protein_coding	HIPK4	ENSG00000160396.8	chr19	-1.34313144267723	3.5879953943157	-4.56683840217856	3.22058252173983e-05	0.00352733503519664	2.25390309846084
ASPA	gene	protein_coding	ASPA	ENSG00000108381.10	chr17	1.59750994492912	6.08954241616827	4.55448783985345	3.35728279689259e-05	0.003631315968911	2.22976948429588
SOWAHA	gene	protein_coding	SOWAHA	ENSG00000198944.5	chr5	-1.25723355312313	7.30174104520052	-4.55237986545766	3.38117469533387e-05	0.003631315968911	2.22753942380896
PNMA5	gene	protein_coding	PNMA5	ENSG00000198883.11	chrX	-1.47926867445538	3.32151566843164	-4.55250744602431	3.3797239756266e-05	0.003631315968911	2.21007507735713
RP11-1E11.1	gene	processed_pseudogene	RP11-1E11.1	ENSG00000204429.4	chr9	-1.89139807008163	1.63088683504979	-4.54323223874812	3.48679476327535e-05	0.00367728621922857	2.19702002093622
PCSK6	gene	protein_coding	PCSK6	ENSG00000140479.16	chr15	1.45010336518111	4.02290698960858	4.54400187085809	3.47778558016616e-05	0.00367728621922857	2.1883105987409
ANKRD20A19P	gene	transcribed_unprocessed_pseudogene	ANKRD20A19P	ENSG00000196593.9	chr13	-2.8251446665036	2.9583014426586	-4.54291939950838	3.4904633250678e-05	0.00367728621922857	2.18473129152766
OPRD1	gene	protein_coding	OPRD1	ENSG00000116329.10	chr1	-1.10411301912313	1.93626406545465	-4.53533704456841	3.58054213499427e-05	0.00371905700444194	2.18227416936103
RP11-284N8.3	gene	lincRNA	RP11-284N8.3	ENSG00000259834.1	chr1	-1.23860871344646	3.26536631661057	-4.5371970294166	3.55823729242093e-05	0.00371332272912834	2.16320342450197
EMX1	gene	protein_coding	EMX1	ENSG00000135638.13	chr2	-1.00173265039281	2.99072286600754	-4.53085949706359	3.63479867409168e-05	0.00374783198942575	2.15943408943648
RP11-81H3.2	gene	lincRNA	RP11-81H3.2	ENSG00000251138.6	chr12	1.03508652107588	2.49574215564161	4.52352928921141	3.72536161954642e-05	0.00376346577492443	2.14665900025987
GALNT16	gene	protein_coding	GALNT16	ENSG00000100626.16	chr14	-1.09065292428358	4.73082913332357	-4.52575445036641	3.69763967561372e-05	0.00375279445980419	2.12876876774123
PIEZO2	gene	protein_coding	PIEZO2	ENSG00000154864.11	chr18	1.11568864393567	3.23771518764633	4.52018566260774	3.7674001738768e-05	0.00378863461122047	2.11973059919109
