type	gene_type	gene_name	gene_id	seqnames	logFC	AveExpr	t	P.Value	adj.P.Val	B
OPRD1	gene	protein_coding	OPRD1	ENSG00000116329.10	chr1	-0.757910119775604	1.91027156298864	-6.92290556305655	6.42860047868957e-11	8.68932498036206e-08	14.4368490325976
INTS13	gene	protein_coding	INTS13	ENSG00000064102.14	chr12	0.489693287307235	4.6147064896843	6.89837974911422	7.38354558720243e-11	8.82871593345943e-08	14.3442439208669
HN1L	gene	protein_coding	HN1L	ENSG00000206053.12	chr16	0.746293456033844	5.14318370260387	6.89278263759636	7.62034667499580e-11	8.82871593345943e-08	14.3131854851741
NOS2	gene	protein_coding	NOS2	ENSG00000007171.16	chr17	-0.604807462977099	1.9427911155087	-6.89433222348734	7.55404812985816e-11	8.82871593345943e-08	14.2308123249806
RP11-863P13.6	gene	lincRNA	RP11-863P13.6	ENSG00000260166.1	chr16	-1.00207316217604	1.73170228585415	-6.87895783213044	8.23778962529016e-11	9.11024643560498e-08	14.2024863786738
PDE8B	gene	protein_coding	PDE8B	ENSG00000113231.13	chr5	-0.573428199714101	5.23458535174869	-6.86271242519622	9.02654962676264e-11	9.54851967039718e-08	14.1507619837527
CRTC1	gene	protein_coding	CRTC1	ENSG00000105662.15	chr19	-0.872651060729226	6.19143090089625	-6.82939618447432	1.08841463939184e-10	1.10338034068347e-07	13.9713691990505
GJB1	gene	protein_coding	GJB1	ENSG00000169562.9	chrX	1.24598644297362	6.1981681635043	6.81875524288072	1.15532618144731e-10	1.12436343978453e-07	13.9140833171901
DIAPH2	gene	protein_coding	DIAPH2	ENSG00000147202.17	chrX	-0.48941292791225	2.68851538492023	-6.80101447793864	1.27600151242785e-10	1.19404295374499e-07	13.8023616982479
VIPR1	gene	protein_coding	VIPR1	ENSG00000114812.12	chr3	-0.876633159847456	3.43382885297336	-6.75474632051943	1.65224317088417e-10	1.39580744169981e-07	13.5717559939779
ADRA1B	gene	protein_coding	ADRA1B	ENSG00000170214.3	chr5	-1.09069384909705	3.16236689723906	-6.75350388069638	1.66372444756656e-10	1.39580744169981e-07	13.5648870371804
RP11-245D16.4	gene	lincRNA	RP11-245D16.4	ENSG00000278238.1	chr13	-0.713072130015193	2.60363262839749	-6.74295218285856	1.76445184079597e-10	1.43097044288553e-07	13.4921884037547
RPL12P30	gene	processed_pseudogene	RPL12P30	ENSG00000242353.1	chr11	-0.744397128590126	1.52126488587386	-6.75654912972879	1.63572217840147e-10	1.39580744169981e-07	13.4664482592219
CDYL2	gene	protein_coding	CDYL2	ENSG00000166446.14	chr16	-0.428647072274679	3.48337218216995	-6.71302488360368	2.08395863180876e-10	1.53644586399719e-07	13.3495124827756
RP11-399H11.2	gene	lincRNA	RP11-399H11.2	ENSG00000233936.1	chr9	-0.680273138746065	1.01235766391002	-6.73516642856614	1.8426022220787e-10	1.44614555042499e-07	13.348484825464
MAP3K21	gene	protein_coding	MAP3K21	ENSG00000143674.10	chr1	-0.509658045799435	1.8661849265898	-6.71396174838596	2.07314290967212e-10	1.53644586399719e-07	13.2834818192411
RASGRP3	gene	protein_coding	RASGRP3	ENSG00000152689.17	chr2	0.86709562143365	4.88445698460239	6.64295610804929	3.07173418097885e-10	2.18544630158523e-07	12.9762237081753
KLK6	gene	protein_coding	KLK6	ENSG00000167755.14	chr19	1.29374365011127	6.96225003505107	6.63874961784856	3.143880828421e-10	2.18544630158523e-07	12.9553165628388
PTH2R	gene	protein_coding	PTH2R	ENSG00000144407.9	chr2	-0.902075170017214	2.11956368872255	-6.61358845907891	3.61156934768737e-10	2.44081895081205e-07	12.7933075029861
FBXO17	gene	protein_coding	FBXO17	ENSG00000269190.5	chr19	-0.386764498120619	3.73854763409404	-6.60003343470796	3.89123703053782e-10	2.5587512689996e-07	12.7517420625111
MREG	gene	protein_coding	MREG	ENSG00000118242.15	chr2	-0.601186080847271	3.36870255529602	-6.58584027575652	4.20690112677156e-10	2.62445908754749e-07	12.677388886183
SMIM5	gene	protein_coding	SMIM5	ENSG00000204323.5	chr17	0.958177255412939	3.18659423114511	6.5872992831491	4.17332395330837e-10	2.62445908754749e-07	12.6589639470844
HAGLR	gene	antisense	HAGLR	ENSG00000224189.6	chr2	1.16071177942397	3.92562088751945	6.56727931245991	4.65796726101944e-10	2.83320858651508e-07	12.577260672322
ENPP6	gene	protein_coding	ENPP6	ENSG00000164303.10	chr4	0.962173495863345	3.74926403220453	6.55539564093058	4.97139794607448e-10	2.9124586043135e-07	12.5177744646208
RP11-640L9.2	gene	TEC	RP11-640L9.2	ENSG00000281100.1	chr3	-0.648209705565124	1.69340082528981	-6.55334031473686	5.02767206663243e-10	2.9124586043135e-07	12.4491258322651
SPAG5	gene	protein_coding	SPAG5	ENSG00000076382.16	chr17	-0.507012957815593	3.35824951594758	-6.53883634977896	5.44298921735928e-10	3.07971924786863e-07	12.4311923580315
LYPD8	gene	protein_coding	LYPD8	ENSG00000259823.5	chr1	-0.76720290663211	2.0253183591903	-6.52567027668606	5.84909928906032e-10	3.14684018968439e-07	12.3450870951321
TMEM266	gene	protein_coding	TMEM266	ENSG00000169758.12	chr15	-0.55268128038706	2.41045291292928	-6.52254978836932	5.94963619915668e-10	3.14684018968439e-07	12.3356665723653
GLRA3	gene	protein_coding	GLRA3	ENSG00000145451.12	chr4	-0.664466684101567	1.55989897389825	-6.52499462480933	5.87072498497315e-10	3.14684018968439e-07	12.2899151767449
EIF4E1B	gene	protein_coding	EIF4E1B	ENSG00000175766.11	chr5	-0.734893397089058	2.08161158656905	-6.51477632225637	6.20753169657781e-10	3.21338821654762e-07	12.263540489323
C3orf67-AS1	gene	antisense	C3orf67-AS1	ENSG00000242428.5	chr3	-0.593302845523433	1.43709712744738	-6.48736806248253	7.20760324180595e-10	3.65335389319039e-07	12.1108192866171
KCNA4	gene	protein_coding	KCNA4	ENSG00000182255.6	chr11	-0.719812114048051	2.43509941766813	-6.47768749381587	7.59739047195566e-10	3.68282666169856e-07	12.1107738776349
GALE	gene	protein_coding	GALE	ENSG00000117308.14	chr1	-0.363461135710129	3.75276355146509	-6.475791604072	7.67611942592416e-10	3.68282666169856e-07	12.1005397939375
PITPNM2	gene	protein_coding	PITPNM2	ENSG00000090975.12	chr12	-0.666886985916704	4.56738741844137	-6.47365338208405	7.76587399091166e-10	3.68282666169856e-07	12.0842480187177
RGS6	gene	protein_coding	RGS6	ENSG00000182732.16	chr14	-0.627317385794949	2.29128249692195	-6.4711743021483	7.87122837683211e-10	3.68282666169856e-07	12.0599321679755
CDH9	gene	protein_coding	CDH9	ENSG00000113100.9	chr5	-1.05243338802412	2.67420934883204	-6.446472614598	9.00078354048549e-10	4.07817858062826e-07	11.9491521645069
LRMP	gene	protein_coding	LRMP	ENSG00000118308.15	chr12	-0.734090726129923	2.87715609206002	-6.44543747246439	9.05144444529085e-10	4.07817858062826e-07	11.9455116633255
RP11-863P13.5	gene	lincRNA	RP11-863P13.5	ENSG00000261193.1	chr16	-0.853799239203679	2.4655663029623	-6.42951892131374	9.86673571078891e-10	4.16426509385449e-07	11.8633082715748
MYO1E	gene	protein_coding	MYO1E	ENSG00000157483.8	chr15	0.695237319319716	3.96280640364363	6.42839145485586	9.92714243500042e-10	4.16426509385449e-07	11.8566620135295
ANKRD20A5P	gene	transcribed_unprocessed_pseudogene	ANKRD20A5P	ENSG00000186481.16	chr18	-0.562719450619868	1.44869448287967	-6.43975284837152	9.33469109750052e-10	4.12932789822159e-07	11.8388353771667
POU2F2	gene	protein_coding	POU2F2	ENSG00000028277.21	chr19	-0.615698916716519	2.63131235728919	-6.42887961794268	9.90094344450333e-10	4.16426509385449e-07	11.8358837931328
NHSL2	gene	protein_coding	NHSL2	ENSG00000204131.9	chrX	-0.469851765165472	2.58512796269343	-6.42057669639722	1.03559422588884e-09	4.19933458597926e-07	11.8105361661471
CPNE5	gene	protein_coding	CPNE5	ENSG00000124772.11	chr6	-0.801004301615209	4.41705246812033	-6.42095159185221	1.03349621671652e-09	4.19933458597926e-07	11.8098124869336
RP11-259K15.2	gene	lincRNA	RP11-259K15.2	ENSG00000258844.1	chr14	1.15734796491842	4.70641463590256	6.41004054223416	1.09629930260513e-09	4.30209065038433e-07	11.761570982916
STRC	gene	protein_coding	STRC	ENSG00000242866.9	chr15	-0.531530199172926	1.17733205971374	-6.41270599091251	1.08061956516151e-09	4.30209065038433e-07	11.6887007609471
RP11-467J12.4	gene	protein_coding	RP11-467J12.4	ENSG00000277639.2	chr16	1.82260750567041	2.67921863201682	6.39289511434673	1.20263836217781e-09	4.64447481774382e-07	11.6307890181332
MOG	gene	protein_coding	MOG	ENSG00000204655.11	chr6	1.08148521129503	8.84087230615724	6.3782704373414	1.30130236954288e-09	4.87087486938126e-07	11.5976186568486
FFAR4	gene	protein_coding	FFAR4	ENSG00000186188.10	chr10	-0.571929790450761	1.49011523166015	-6.38230004209439	1.273350000194e-09	4.84071961011248e-07	11.5477524059963
ELFN2	gene	sense_overlapping	ELFN2	ENSG00000243902.6	chr22	-0.595334879056814	2.60286451517939	-6.36290466141268	1.41353091334769e-09	5.03502969392721e-07	11.5159168007251
TMEM98	gene	protein_coding	TMEM98	ENSG00000006042.11	chr17	0.766822784578157	5.58807465537211	6.36416598886889	1.4039710610208e-09	5.03502969392721e-07	11.515300395534
RP11-881M11.4	gene	antisense	RP11-881M11.4	ENSG00000256196.1	chr11	-0.657818045838231	1.39905773584249	-6.37148198845045	1.34976123544799e-09	4.97571073612874e-07	11.4893618589573
PRKAA2	gene	protein_coding	PRKAA2	ENSG00000162409.10	chr1	-0.44312538322106	2.80811750520717	-6.35541913656591	1.47159497553656e-09	5.11484367925779e-07	11.480340016502
RUNDC3A-AS1	gene	antisense	RUNDC3A-AS1	ENSG00000267750.5	chr17	-0.499337106976648	1.96806509518935	-6.36101967296341	1.42793690456629e-09	5.03502969392721e-07	11.4679851939748
ELK1	gene	protein_coding	ELK1	ENSG00000126767.17	chrX	-0.93872138891899	6.32380552630402	-6.34795522408842	1.53182206688103e-09	5.24918744890358e-07	11.442453242817
CYP2B7P	gene	transcribed_unprocessed_pseudogene	CYP2B7P	ENSG00000256612.7	chr19	-0.57552696861518	2.2629143048669	-6.34243460122739	1.57791960904307e-09	5.33205334555805e-07	11.3905063241458
CMTM5	gene	protein_coding	CMTM5	ENSG00000166091.19	chr14	0.846676247965521	7.1213797461256	6.32571405953099	1.72600833484214e-09	5.75257298448071e-07	11.3255505222645
OPN4	gene	protein_coding	OPN4	ENSG00000122375.11	chr10	-0.750460486058672	1.63758115386817	-6.30600362529681	1.91816693810927e-09	6.30662183840521e-07	11.1887649069688
SLC25A13	gene	protein_coding	SLC25A13	ENSG00000004864.13	chr7	0.624455575004523	4.30860932623361	6.29689159538635	2.01395600186493e-09	6.53327327004983e-07	11.1794017189432
RP11-1081L13.4	gene	antisense	RP11-1081L13.4	ENSG00000254966.1	chr11	-0.453636183249513	2.4587319973419	-6.28452047896646	2.15155787724684e-09	6.83965973629895e-07	11.1086060470508
MPP7	gene	protein_coding	MPP7	ENSG00000150054.18	chr10	-0.528404805453613	1.99137247891576	-6.28150559698424	2.18646639285673e-09	6.83965973629895e-07	11.0769692103015
S1PR5	gene	protein_coding	S1PR5	ENSG00000180739.13	chr19	0.925340638008378	5.78946377740757	6.27150496483733	2.30628903808252e-09	6.92740892549972e-07	11.0397491664765
ZBED9	gene	protein_coding	ZBED9	ENSG00000232040.2	chr6	-0.457305497569668	1.37903154654932	-6.28096885281922	2.19273924961495e-09	6.83965973629895e-07	11.0288067886886
ZNF702P	gene	transcribed_processed_pseudogene	ZNF702P	ENSG00000242779.6	chr19	-0.53718927817964	1.64124309411402	-6.27789195140002	2.22904096460962e-09	6.86488185682939e-07	11.02709058194
RP6-91H8.1	gene	lincRNA	RP6-91H8.1	ENSG00000258517.1	chr14	-0.648060628465354	1.157138869013	-6.27374471592703	2.27890554784155e-09	6.92740892549972e-07	11.0086979404703
RP11-482M8.3	gene	antisense	RP11-482M8.3	ENSG00000269935.1	chr16	-1.13848171179724	4.45014635072786	-6.26321575272328	2.41047241551729e-09	7.15204803287021e-07	11.0001753477668
ESYT3	gene	protein_coding	ESYT3	ENSG00000158220.13	chr3	-0.718255123230255	2.32107113240835	-6.25984884165139	2.45409660454711e-09	7.19375546850978e-07	10.9895135124772
SETD1B	gene	protein_coding	SETD1B	ENSG00000139718.10	chr12	-0.236612376387975	3.71469047882837	-6.25602353281732	2.50460089649406e-09	7.25439759663101e-07	10.971479364823
CTB-78F1.1	gene	antisense	CTB-78F1.1	ENSG00000254187.1	chr5	-0.958859834020139	2.08491860277102	-6.2535791488797	2.53740602261879e-09	7.26295159180177e-07	10.9512887899891
RP11-863P13.4	gene	lincRNA	RP11-863P13.4	ENSG00000205037.2	chr16	-0.824410294940836	2.43977007165584	-6.2461443258691	2.63979958745282e-09	7.46817720496828e-07	10.9257892948624
CA14	gene	protein_coding	CA14	ENSG00000118298.10	chr1	0.9715573570422	4.43148479075474	6.23999440752942	2.72755267272972e-09	7.62774212959933e-07	10.8893982621667
PTPDC1	gene	protein_coding	PTPDC1	ENSG00000158079.14	chr9	0.501883482945456	4.30926156125644	6.23732864305107	2.76647397751588e-09	7.6486718037456e-07	10.8723904830419
ZNF697	gene	protein_coding	ZNF697	ENSG00000143067.4	chr1	-0.426226292427285	2.09854291425161	-6.23368362626323	2.82057616357428e-09	7.69050168087282e-07	10.8468105521715
PRIMA1	gene	protein_coding	PRIMA1	ENSG00000175785.12	chr14	0.962052148179486	4.49731119821233	6.23135143312198	2.85573566700288e-09	7.69050168087282e-07	10.8421710485554
CPXM2	gene	protein_coding	CPXM2	ENSG00000121898.12	chr10	0.681359321230516	2.44119217421661	6.2299918156117	2.87643096160882e-09	7.69050168087282e-07	10.8260668402115
ASPA	gene	protein_coding	ASPA	ENSG00000108381.10	chr17	0.899461025677756	6.13722773155418	6.22067957816896	3.02218595668462e-09	7.99236786153661e-07	10.7812464921529
SSTR1	gene	protein_coding	SSTR1	ENSG00000139874.5	chr14	-0.689370418901643	3.67595747623266	-6.20679480083565	3.25306237909884e-09	8.51043093370696e-07	10.7158166108886
CCDC78	gene	protein_coding	CCDC78	ENSG00000162004.16	chr16	1.22719370362809	4.50853719517205	6.20229978231614	3.3314489461277e-09	8.53201609045125e-07	10.7000959996845
PRC1-AS1	gene	antisense	PRC1-AS1	ENSG00000258725.1	chr15	-0.45078511069429	1.76595224488628	-6.20368211919657	3.30714774489257e-09	8.53201609045125e-07	10.6644139951381
NOL4	gene	protein_coding	NOL4	ENSG00000101746.15	chr18	-0.64292322317344	3.67278789126993	-6.19060625858618	3.54415137011782e-09	8.98220862864234e-07	10.6337280474307
RP11-438B23.2	gene	sense_overlapping	RP11-438B23.2	ENSG00000260412.1	chr9	-0.70575955683377	1.72954863990805	-6.1781783022591	3.78481770173252e-09	9.45286943256887e-07	10.5678689002403
EMX1	gene	protein_coding	EMX1	ENSG00000135638.13	chr2	-0.798305788762187	3.11040742422256	-6.17512180779025	3.8464203609713e-09	9.45286943256887e-07	10.5605505594875
CNTNAP4	gene	protein_coding	CNTNAP4	ENSG00000152910.18	chr16	0.819222561196855	6.2586755385124	6.17538516969615	3.84107389507838e-09	9.45286943256887e-07	10.55657571723
KCNH4	gene	protein_coding	KCNH4	ENSG00000089558.8	chr17	-0.582582666072675	1.43732004415601	-6.16792912566424	3.9952931547405e-09	9.72054824548365e-07	10.4859264110368
CACNG2	gene	protein_coding	CACNG2	ENSG00000166862.6	chr22	-0.680912856515354	2.55194638954575	-6.14743563861871	4.45114590922525e-09	1.06172921540638e-06	10.4290287476089
LINC00621	gene	lincRNA	LINC00621	ENSG00000262619.1	chr13	-0.5920678447227	1.63933897161551	-6.14982956846988	4.39537131302714e-09	1.05880578263317e-06	10.4037635476768
SNAP25-AS1	gene	antisense	SNAP25-AS1	ENSG00000227906.7	chr20	-0.432470297141007	1.8647422979852	-6.14382258340309	4.53664077968693e-09	1.07161621524061e-06	10.3827898184371
RERE	gene	protein_coding	RERE	ENSG00000142599.17	chr1	-0.238787563459393	5.78514355020706	-6.13878673424624	4.6584948546599e-09	1.08981903667188e-06	10.369519277968
LASP1	gene	protein_coding	LASP1	ENSG00000002834.17	chr17	-0.369117918049633	5.86407503709847	-6.12465076149978	5.01795593341454e-09	1.14900837653386e-06	10.3033464688989
RNF13	gene	protein_coding	RNF13	ENSG00000082996.19	chr3	0.592698556797159	6.81198399274778	6.1233193578502	5.05318110518384e-09	1.14900837653386e-06	10.2974431302898
KRT8P26	gene	processed_pseudogene	KRT8P26	ENSG00000214659.4	chr11	-0.468916514255423	1.59164987257298	-6.12483009668183	5.01322966972572e-09	1.14900837653386e-06	10.2833236140375
IWS1	gene	protein_coding	IWS1	ENSG00000163166.14	chr2	0.357013982720538	5.86804964890816	6.11592631289825	5.2532359639017e-09	1.17146533912872e-06	10.2534332681231
RP11-192H23.8	gene	sense_intronic	RP11-192H23.8	ENSG00000264608.1	chr17	-0.84099779703195	4.4072091742579	-6.11339674284877	5.32345287229485e-09	1.17146533912872e-06	10.238941692804
FA2H	gene	protein_coding	FA2H	ENSG00000103089.8	chr16	1.03508620302957	6.76871451973847	6.11093434277168	5.39268877856212e-09	1.17146533912872e-06	10.2336539894619
SYNJ2	gene	protein_coding	SYNJ2	ENSG00000078269.14	chr6	0.661767486894065	5.78177612785853	6.11203659188184	5.36158810539439e-09	1.17146533912872e-06	10.2324057847238
TMEM125	gene	protein_coding	TMEM125	ENSG00000179178.10	chr1	1.02013842499103	5.71891894692915	6.10690523959605	5.50788469830484e-09	1.17549855008559e-06	10.2066968650758
KRT8P30	gene	processed_pseudogene	KRT8P30	ENSG00000224928.2	chr2	-0.537060359354995	1.45523482070341	-6.10729434383742	5.49665541658942e-09	1.17549855008559e-06	10.2005015770866
CTC-471C19.1	gene	lincRNA	CTC-471C19.1	ENSG00000261037.1	chr5	-0.584017403878509	1.09585333309878	-6.11106258699969	5.38906121215339e-09	1.17146533912872e-06	10.1817279034635
STEAP2	gene	protein_coding	STEAP2	ENSG00000157214.13	chr7	-0.631555892688596	3.43637640188497	-6.09416446750084	5.88826068144623e-09	1.24575115112684e-06	10.1540451955241
SLC41A2	gene	protein_coding	SLC41A2	ENSG00000136052.9	chr12	-0.362909176764931	2.70976625032613	-6.08812527225258	6.07744326244638e-09	1.25308639470611e-06	10.1334571789783
AC006466.5	gene	processed_pseudogene	AC006466.5	ENSG00000232887.1	chr7	-0.663821902301496	1.55385844398228	-6.08995942349788	6.01936571185976e-09	1.25308639470611e-06	10.1278922390349
RP11-416I2.1	gene	lincRNA	RP11-416I2.1	ENSG00000260328.1	chr17	-0.94219104757545	2.96190851512989	-6.08895798748685	6.05100795601014e-09	1.25308639470611e-06	10.1261325514248
LRRK1	gene	protein_coding	LRRK1	ENSG00000154237.12	chr15	-0.430634187669624	2.10238873311925	-6.08045237123774	6.32641505760786e-09	1.29345948194621e-06	10.0665148528232
COL4A5	gene	protein_coding	COL4A5	ENSG00000188153.12	chrX	0.912774633394124	5.28769871168079	6.07246228066959	6.59630209360164e-09	1.31581610294812e-06	10.036145275469
SSTR3	gene	protein_coding	SSTR3	ENSG00000278195.1	chr22	-0.791954129020926	2.52143710419621	-6.06866156957954	6.72861090968677e-09	1.33095206042829e-06	10.035464328286
SDCBP2	gene	protein_coding	SDCBP2	ENSG00000125775.14	chr20	-0.505820125501692	5.24246633556573	-6.07241276724245	6.59800922974397e-09	1.31581610294812e-06	10.0353490126373
CARNS1	gene	protein_coding	CARNS1	ENSG00000172508.10	chr11	1.1690023743657	8.04214605976953	6.06574296875318	6.8319743243182e-09	1.33944489914394e-06	10.0190469541036
RP6-91H8.5	gene	lincRNA	RP6-91H8.5	ENSG00000269945.1	chr14	-1.0220047709902	1.90700093999427	-6.06435559683061	6.88165279050524e-09	1.33944489914394e-06	10.0116376870433
FAM87A	gene	lincRNA	FAM87A	ENSG00000182366.9	chr8	-0.588339972400722	1.07768821089272	-6.0766518910304	6.45340901632152e-09	1.30842867805919e-06	10.0004455065954
SEPT8	gene	protein_coding	SEPT8	ENSG00000164402.13	chr5	0.493833321644292	7.97264087253546	6.05860422732312	7.09139861145609e-09	1.36931530330735e-06	9.9852444545735
U47924.31	gene	antisense	U47924.31	ENSG00000272173.1	chr12	-0.437572162933792	2.75532185347677	-6.04935066464264	7.44208421594118e-09	1.42571581869172e-06	9.93785722350486
ANLN	gene	protein_coding	ANLN	ENSG00000011426.10	chr7	1.03289463800839	7.18170455590396	6.04559499361422	7.58921330118082e-09	1.44254343451351e-06	9.91053207075662
VSTM5	gene	protein_coding	VSTM5	ENSG00000214376.5	chr11	-0.669937690868873	2.64901854564968	-6.03717754817603	7.92939836369593e-09	1.48118306309465e-06	9.88120266871764
CDH18	gene	protein_coding	CDH18	ENSG00000145526.11	chr5	-0.6041817461684	2.52736345672146	-6.03607298928271	7.97513280992189e-09	1.48118306309465e-06	9.87519485661064
CAPN3	gene	protein_coding	CAPN3	ENSG00000092529.23	chr15	0.802909175704499	6.87371826125352	6.03759784353362	7.91206354563491e-09	1.48118306309465e-06	9.86577664743893
HTR1E	gene	protein_coding	HTR1E	ENSG00000168830.7	chr6	-0.692056722393159	1.94891375245627	-6.03355401086328	8.08040053950465e-09	1.48936473580415e-06	9.85292750590488
TMEM241	gene	protein_coding	TMEM241	ENSG00000134490.13	chr18	-0.386598529447475	2.61705453432061	-6.0284212182843	8.29912991839824e-09	1.49289960633929e-06	9.8377840529389
CCDC85A	gene	protein_coding	CCDC85A	ENSG00000055813.5	chr2	-0.920444769865629	4.41335498285877	-6.02949402791845	8.25293875219982e-09	1.49289960633929e-06	9.82362600771725
FNDC9	gene	protein_coding	FNDC9	ENSG00000172568.4	chr5	-0.720860783343631	2.86492955553654	-6.0258107491307	8.41258761631061e-09	1.49400187375794e-06	9.81824457808684
RP11-197K6.1	gene	lincRNA	RP11-197K6.1	ENSG00000223812.5	chr3	-1.09334878916087	1.75283097074628	-6.02330378006111	8.52297680484758e-09	1.50263786711552e-06	9.79652170778022
CDK18	gene	protein_coding	CDK18	ENSG00000117266.15	chr1	0.941571305292699	7.31797133588892	6.02154095749357	8.60144758034059e-09	1.50556273114883e-06	9.794303238253
RP11-10A7.1	gene	processed_pseudogene	RP11-10A7.1	ENSG00000254890.1	chr11	-0.633198850562692	1.0106470477914	-6.02941661544961	8.25626339379344e-09	1.49289960633929e-06	9.78743166355808
COL9A2	gene	protein_coding	COL9A2	ENSG00000049089.13	chr1	0.657838244366053	7.38572836841125	6.01801800448301	8.76039591970152e-09	1.52243166233099e-06	9.77727952441104
GLP2R	gene	protein_coding	GLP2R	ENSG00000065325.12	chr17	-0.577535777200549	1.14992028247148	-6.0273611697917	8.34502040534908e-09	1.49289960633929e-06	9.77602073014985
PARVB	gene	protein_coding	PARVB	ENSG00000188677.14	chr22	-0.485196529663834	4.14637229542494	-6.015279785215	8.88592289575468e-09	1.53329435499086e-06	9.75335398494146
PMP22	gene	protein_coding	PMP22	ENSG00000109099.13	chr17	0.702944205190249	8.15157585878895	6.00724072946418	9.26472200293991e-09	1.58424442187801e-06	9.73036347605422
CNGB1	gene	protein_coding	CNGB1	ENSG00000070729.13	chr16	-1.29561490907454	2.75751247430051	-6.00492919184852	9.37653911839017e-09	1.58424442187801e-06	9.70744250288793
HTR6	gene	protein_coding	HTR6	ENSG00000158748.3	chr1	-0.514950438196175	1.35445185487311	-6.00546374818597	9.35056384060681e-09	1.58424442187801e-06	9.69051143062281
KCNS2	gene	protein_coding	KCNS2	ENSG00000156486.7	chr8	-0.65911960083807	1.61940236151817	-5.99811869357213	9.71372794787175e-09	1.62989655842565e-06	9.6781702882128
CLIC6	gene	protein_coding	CLIC6	ENSG00000159212.12	chr21	1.4759989364425	3.37013070358039	5.98842602975411	1.02141780031659e-08	1.69055068583012e-06	9.64108838303731
FANCA	gene	protein_coding	FANCA	ENSG00000187741.14	chr16	-0.374544407644051	1.61741574960603	-5.99198379812683	1.00276173214191e-08	1.67104061253512e-06	9.62174117803514
RP5-907C10.3	gene	TEC	RP5-907C10.3	ENSG00000279419.1	chr7	0.893607964473136	4.87593035549683	5.98468227864081	1.04141617579481e-08	1.70520910357e-06	9.60665589330372
SLC5A11	gene	protein_coding	SLC5A11	ENSG00000158865.12	chr16	1.31635466491507	5.43162279414993	5.98414978209529	1.04429164172597e-08	1.70520910357e-06	9.59622583071141
